"id","jettyBerthId","vesselCode","vesselName","arrivalTime","berthingTime","loadingStart","loadingEnd","departureTime","draftArrival","draftDeparture","waitingTime","remarks","createdAt","updatedAt"
"cmhsbjush09jemaft7z5ky9ae","cmhsbjrp606rdmaftrie5n7vx","MV-0001","MV Samudra Sejahtera","2025-09-30T23:02:44.895Z","2025-09-30T23:02:44.895Z","2025-09-30T23:26:45.076Z","2025-10-01T13:30:18.925Z","2025-10-01T14:54:28.952Z",7.364464744602883,8.518966750351083,0,,"2025-11-09T23:02:44.897Z","2025-11-09T23:02:44.897Z"
"cmhsbjusk09jgmaft48e0s7qj","cmhsbjrp806remaftttt2s3rl","MV-0002","MV Borneo Mulia","2025-10-15T23:02:44.895Z","2025-10-15T23:05:44.895Z","2025-10-15T23:38:12.069Z","2025-10-16T22:36:59.737Z","2025-10-16T23:23:18.625Z",7.193095087274589,7.930804095664253,3,,"2025-11-09T23:02:44.901Z","2025-11-09T23:02:44.901Z"
"cmhsbjusm09jimaftlsrlmuwv","cmhsbjrp906rfmaftdqg3hzzm","MV-0003","MV Borneo Sentosa","2025-09-30T23:02:44.895Z","2025-09-30T23:59:44.895Z","2025-10-01T00:50:16.936Z","2025-10-01T07:24:21.927Z","2025-10-01T08:33:40.602Z",6.427431939691533,7.714515887863001,57,,"2025-11-09T23:02:44.902Z","2025-11-09T23:02:44.902Z"
"cmhsbjuso09jkmaftskwro0j7","cmhsbjrpa06rgmaft9se1nztq","MV-0004","MV Samudera Prima","2025-09-26T23:02:44.895Z","2025-09-26T23:41:44.895Z","2025-09-27T00:29:11.121Z","2025-09-27T17:26:33.795Z","2025-09-27T18:43:49.141Z",6.699507672748489,8.983873858818473,39,,"2025-11-09T23:02:44.904Z","2025-11-09T23:02:44.904Z"
"cmhsbjusp09jmmaftuixysrtu","cmhsbjrpc06rhmaft8lcbaatu","MV-0005","MV Borneo Indah","2025-09-24T23:02:44.895Z","2025-09-25T00:47:44.895Z","2025-09-25T01:19:37.066Z","2025-09-25T12:24:08.948Z","2025-09-25T13:45:29.054Z",7.580493039647636,8.406905153579352,105,,"2025-11-09T23:02:44.905Z","2025-11-09T23:02:44.905Z"
"cmhsbjusq09jomaftb6flg4v0","cmhsbjrpd06rimaftrej43glt","MV-0006","MV Barito Kencana","2025-09-25T23:02:44.895Z","2025-09-26T01:40:44.895Z","2025-09-26T02:28:56.018Z","2025-09-26T08:33:12.465Z","2025-09-26T09:53:15.863Z",6.111634636545754,8.667251118915658,158,,"2025-11-09T23:02:44.907Z","2025-11-09T23:02:44.907Z"
"cmhsbjuss09jqmaftb75gfd87","cmhsbjrpf06rjmafthr1j5vbl","MV-0007","MV Samudera Indah","2025-10-18T23:02:44.895Z","2025-10-19T01:31:44.895Z","2025-10-19T01:44:11.808Z","2025-10-20T00:24:10.770Z","2025-10-20T01:33:33.155Z",6.862375923612803,7.147364136499839,149,,"2025-11-09T23:02:44.908Z","2025-11-09T23:02:44.908Z"
"cmhsbjust09jsmaft7j7m3s6q","cmhsbjrpg06rkmaftq8p9nms3","MV-0008","MV Samudera Kencana","2025-10-04T23:02:44.895Z","2025-10-05T01:09:44.895Z","2025-10-05T01:25:48.906Z","2025-10-05T19:37:25.271Z","2025-10-05T20:36:00.664Z",8.579932215924448,7.18788760696887,127,,"2025-11-09T23:02:44.910Z","2025-11-09T23:02:44.910Z"
"cmhsbjusv09jumaftz34055cu","cmhsbjrph06rlmaft5utf52uz","MV-0009","MV Lontar Kencana","2025-10-11T23:02:44.895Z","2025-10-11T23:14:44.895Z","2025-10-11T23:41:01.827Z","2025-10-12T12:17:59.370Z","2025-10-12T13:08:22.673Z",6.593407659545615,7.630857278481877,12,,"2025-11-09T23:02:44.911Z","2025-11-09T23:02:44.911Z"
"cmhsbjusw09jwmaftvb0p6e2s","cmhsbjrpi06rmmaftoffuc1tv","MV-0010","MV Lontar Sentosa","2025-09-18T23:02:44.895Z","2025-09-18T23:46:44.895Z","2025-09-19T00:39:43.144Z","2025-09-19T09:58:02.305Z","2025-09-19T11:00:09.845Z",7.589716645941857,8.559147306849038,44,,"2025-11-09T23:02:44.913Z","2025-11-09T23:02:44.913Z"
