"id","sessionId","userId","userQuery","queryIntent","retrievedContext","sqlQuery","botResponse","responseSource","confidence","responseTime","tokensUsed","userFeedback","feedbackComment","timestamp"
"cmhsbk3gg0it1maft5ljm3tsn","SESSION-0000001","cmhsbjkdk0000maftb419zy59","Query 1 - Information request","FUEL_REPORT","{""documents"":2,""relevance"":0.8107127606237218}","SELECT * FROM hauling_activities WHERE ...","Response to query 1 with relevant information","HYBRID",0.882687398470656,2,1386,,,"2025-11-03T14:02:56.126Z"
"cmhsbk3gj0it2maftnd6b67d6","SESSION-0000002","cmhsbjkdp0001maftund967le","Query 2 - Information request","PRODUCTION_QUERY","{""documents"":9,""relevance"":0.7835872493998708}","SELECT * FROM hauling_activities WHERE ...","Response to query 2 with relevant information","ML_MODEL",0.9267998544484302,2,1345,,,"2025-11-09T05:02:56.126Z"
"cmhsbk3gl0it3mafty6vy3p0e","SESSION-0000003","cmhsbjkdq0002maftd9q9pi93","Query 3 - Information request","DELAY_ANALYSIS","{""documents"":9,""relevance"":0.8443408673896005}","SELECT * FROM hauling_activities WHERE ...","Response to query 3 with relevant information","ML_MODEL",0.7375710013060679,2,1046,"POSITIVE",,"2025-11-05T15:02:56.126Z"
"cmhsbk3gn0it4maft4uf55m49","SESSION-0000004","cmhsbjkds0003maftiu78c3i0","Query 4 - Information request","MAINTENANCE_SCHEDULE","{""documents"":8,""relevance"":0.7287296475626104}",,"Response to query 4 with relevant information","RULE_ENGINE",0.9247355920389252,2,1366,,"User feedback comment","2025-10-12T13:02:56.126Z"
"cmhsbk3go0it5maftcnmz5mez","SESSION-0000005","cmhsbjkdt0004maftq5hdz0ol","Query 5 - Information request","EQUIPMENT_STATUS","{""documents"":7,""relevance"":0.8966337632976378}",,"Response to query 5 with relevant information","HYBRID",0.9078635514004455,0,263,"POSITIVE",,"2025-10-14T23:02:56.126Z"
"cmhsbk3gp0it6maftrq59pcb0","SESSION-0000006","cmhsbjkdv0005maftk0yc9ndo","Query 6 - Information request","EQUIPMENT_STATUS","{""documents"":1,""relevance"":0.7226904221032615}",,"Response to query 6 with relevant information","RULE_ENGINE",0.948343954767778,0,366,"NEGATIVE",,"2025-11-08T13:02:56.126Z"
"cmhsbk3gr0it7maftskynz113","SESSION-0000007","cmhsbjkdw0006maftoug0ufbw","Query 7 - Information request","FUEL_REPORT","{""documents"":6,""relevance"":0.8106436680304108}","SELECT * FROM hauling_activities WHERE ...","Response to query 7 with relevant information","DATABASE",0.7601883713559382,1,991,"POSITIVE","User feedback comment","2025-11-06T13:02:56.126Z"
"cmhsbk3gs0it8maftbzn34qd8","SESSION-0000008","cmhsbjkdy0007maftlhqh0vpc","Query 8 - Information request","FUEL_REPORT","{""documents"":1,""relevance"":0.8194349526009508}",,"Response to query 8 with relevant information","RULE_ENGINE",0.941644774865022,1,997,"NEGATIVE","User feedback comment","2025-11-05T17:02:56.126Z"
"cmhsbk3gt0it9mafta93dh612","SESSION-0000009","cmhsbjkdz0008maft3coo45ec","Query 9 - Information request","MAINTENANCE_SCHEDULE","{""documents"":10,""relevance"":0.81077482541254}","SELECT * FROM hauling_activities WHERE ...","Response to query 9 with relevant information","ML_MODEL",0.7658630922822758,0,491,"POSITIVE",,"2025-10-28T23:02:56.126Z"
"cmhsbk3gv0itamaft14elz782","SESSION-0000010","cmhsbjke10009mafta9mfo3do","Query 10 - Information request","FUEL_REPORT","{""documents"":3,""relevance"":0.8478012905324832}",,"Response to query 10 with relevant information","ML_MODEL",0.7928808561820284,2,1084,,"User feedback comment","2025-10-12T14:02:56.126Z"
"cmhsbk3gw0itbmaftc21weyq2","SESSION-0000011","cmhsbjke2000amaftbrbejd56","Query 11 - Information request","PRODUCTION_QUERY","{""documents"":3,""relevance"":0.7373859234349138}",,"Response to query 11 with relevant information","RULE_ENGINE",0.9480705981833801,1,625,,,"2025-11-04T06:02:56.126Z"
"cmhsbk3gx0itcmaftifzzxgot","SESSION-0000012","cmhsbjke4000bmaftfwa6235o","Query 12 - Information request","MAINTENANCE_SCHEDULE","{""documents"":4,""relevance"":0.8847973512107201}",,"Response to query 12 with relevant information","RULE_ENGINE",0.8220642228319197,2,1423,"POSITIVE",,"2025-10-22T21:02:56.126Z"
"cmhsbk3gz0itdmafthcf1d6un","SESSION-0000013","cmhsbjke5000cmaftdepyu2zq","Query 13 - Information request","EQUIPMENT_STATUS","{""documents"":9,""relevance"":0.8328936519861481}","SELECT * FROM hauling_activities WHERE ...","Response to query 13 with relevant information","ML_MODEL",0.8794619305013912,1,515,"NEGATIVE","User feedback comment","2025-11-01T07:02:56.126Z"
"cmhsbk3h10itemaftjuw2flbe","SESSION-0000014","cmhsbjke6000dmaft50omsmbb","Query 14 - Information request","EQUIPMENT_STATUS","{""documents"":8,""relevance"":0.8357847159143945}","SELECT * FROM hauling_activities WHERE ...","Response to query 14 with relevant information","DATABASE",0.8825269769805687,2,1293,,,"2025-10-31T19:02:56.126Z"
"cmhsbk3h20itfmaftocgwaph9","SESSION-0000015","cmhsbjke8000emaftxno1b7zv","Query 15 - Information request","EQUIPMENT_STATUS","{""documents"":5,""relevance"":0.7401925762283753}",,"Response to query 15 with relevant information","ML_MODEL",0.7742346088261585,1,866,"POSITIVE",,"2025-11-02T14:02:56.126Z"
"cmhsbk3h40itgmaftittno77r","SESSION-0000016","cmhsbjkea000fmaft6p8hpyc1","Query 16 - Information request","FUEL_REPORT","{""documents"":7,""relevance"":0.8155650725754283}",,"Response to query 16 with relevant information","ML_MODEL",0.8346127942996946,1,940,"POSITIVE","User feedback comment","2025-11-05T20:02:56.126Z"
"cmhsbk3h50ithmaft01wiayq3","SESSION-0000017","cmhsbjkeb000gmaft5y6g409v","Query 17 - Information request","EQUIPMENT_STATUS","{""documents"":7,""relevance"":0.9359262136447873}",,"Response to query 17 with relevant information","DATABASE",0.9064074490116365,1,600,,,"2025-10-13T16:02:56.126Z"
"cmhsbk3h60itimaft4lnf52tq","SESSION-0000018","cmhsbjkec000hmaft5m3ziehj","Query 18 - Information request","EQUIPMENT_STATUS","{""documents"":8,""relevance"":0.8835472362048966}","SELECT * FROM hauling_activities WHERE ...","Response to query 18 with relevant information","DATABASE",0.8851877931484597,2,1064,"NEGATIVE",,"2025-10-11T18:02:56.126Z"
"cmhsbk3h80itjmaftcxiy5m9y","SESSION-0000019","cmhsbjked000imafthnf2qkbi","Query 19 - Information request","PRODUCTION_QUERY","{""documents"":9,""relevance"":0.8624799492992017}","SELECT * FROM hauling_activities WHERE ...","Response to query 19 with relevant information","DATABASE",0.860740174326549,2,1336,"NEGATIVE","User feedback comment","2025-10-28T15:02:56.126Z"
"cmhsbk3h90itkmafty2y1zwot","SESSION-0000020","cmhsbjkef000jmaftnq80ep5o","Query 20 - Information request","EQUIPMENT_STATUS","{""documents"":10,""relevance"":0.8167020733449311}",,"Response to query 20 with relevant information","HYBRID",0.8931190516972939,1,985,"NEGATIVE",,"2025-11-04T21:02:56.126Z"
"cmhsbk3ha0itlmaft5auweulb","SESSION-0000021","cmhsbjkeg000kmaftgbda2u0o","Query 21 - Information request","PRODUCTION_QUERY","{""documents"":8,""relevance"":0.9408159397873436}",,"Response to query 21 with relevant information","HYBRID",0.7801839424359411,2,1258,,"User feedback comment","2025-10-12T12:02:56.126Z"
"cmhsbk3hc0itmmaft59jqt25v","SESSION-0000022","cmhsbjkei000lmaft1tp11xa3","Query 22 - Information request","EQUIPMENT_STATUS","{""documents"":3,""relevance"":0.9394768747168063}",,"Response to query 22 with relevant information","HYBRID",0.831850192619071,1,576,,"User feedback comment","2025-10-17T18:02:56.126Z"
"cmhsbk3hd0itnmaftmq16jfiq","SESSION-0000023","cmhsbjkej000mmaftkhfh4ked","Query 23 - Information request","FUEL_REPORT","{""documents"":3,""relevance"":0.7638528022552492}",,"Response to query 23 with relevant information","DATABASE",0.8776382565735399,1,770,,"User feedback comment","2025-10-28T19:02:56.126Z"
"cmhsbk3hf0itomaft6uotbpex","SESSION-0000024","cmhsbjkek000nmaftllf74480","Query 24 - Information request","FUEL_REPORT","{""documents"":5,""relevance"":0.8413512982358509}","SELECT * FROM hauling_activities WHERE ...","Response to query 24 with relevant information","RULE_ENGINE",0.799447798915701,2,1110,,,"2025-10-28T00:02:56.126Z"
"cmhsbk3hh0itpmaftq59u0cgo","SESSION-0000025","cmhsbjkel000omaft2ljkrku0","Query 25 - Information request","DELAY_ANALYSIS","{""documents"":3,""relevance"":0.7951895301122296}","SELECT * FROM hauling_activities WHERE ...","Response to query 25 with relevant information","HYBRID",0.808614506408039,2,1225,"NEGATIVE",,"2025-10-12T10:02:56.126Z"
"cmhsbk3hj0itqmaftktv5wagx","SESSION-0000026","cmhsbjken000pmaftxgneofux","Query 26 - Information request","FUEL_REPORT","{""documents"":9,""relevance"":0.9317842739741262}","SELECT * FROM hauling_activities WHERE ...","Response to query 26 with relevant information","HYBRID",0.9219311537982979,2,1434,"NEGATIVE","User feedback comment","2025-10-24T11:02:56.126Z"
"cmhsbk3hl0itrmaftzy8d1rjq","SESSION-0000027","cmhsbjkep000qmaftz5v0j23y","Query 27 - Information request","FUEL_REPORT","{""documents"":7,""relevance"":0.8475559563948364}","SELECT * FROM hauling_activities WHERE ...","Response to query 27 with relevant information","DATABASE",0.9067819266006993,2,1398,"NEGATIVE",,"2025-10-23T18:02:56.126Z"
"cmhsbk3hm0itsmaft31y54f8p","SESSION-0000028","cmhsbjkeq000rmaftzvz9hhwg","Query 28 - Information request","MAINTENANCE_SCHEDULE","{""documents"":10,""relevance"":0.8221907867686249}",,"Response to query 28 with relevant information","HYBRID",0.8967674561113248,1,609,"NEGATIVE",,"2025-11-05T08:02:56.126Z"
"cmhsbk3ho0ittmaftr56ue4km","SESSION-0000029","cmhsbjker000smaftlv9hgmeo","Query 29 - Information request","PRODUCTION_QUERY","{""documents"":6,""relevance"":0.9063359149481787}","SELECT * FROM hauling_activities WHERE ...","Response to query 29 with relevant information","DATABASE",0.7010155634429178,1,725,"POSITIVE",,"2025-10-22T15:02:56.126Z"
"cmhsbk3hp0itumaftqfjmsya6","SESSION-0000030","cmhsbjkes000tmaft4t7uyt9m","Query 30 - Information request","DELAY_ANALYSIS","{""documents"":9,""relevance"":0.8062881168084145}",,"Response to query 30 with relevant information","DATABASE",0.7681708505851242,1,976,"POSITIVE",,"2025-10-21T00:02:56.126Z"
"cmhsbk3hr0itvmaftprp37xp4","SESSION-0000031","cmhsbjkeu000umaft72sxcbfm","Query 31 - Information request","FUEL_REPORT","{""documents"":8,""relevance"":0.9033271464743295}","SELECT * FROM hauling_activities WHERE ...","Response to query 31 with relevant information","ML_MODEL",0.856467954389881,1,685,"POSITIVE",,"2025-10-29T01:02:56.126Z"
"cmhsbk3hs0itwmaft86eo215o","SESSION-0000032","cmhsbjkev000vmaftbjyqkibu","Query 32 - Information request","EQUIPMENT_STATUS","{""documents"":10,""relevance"":0.7495309407812111}","SELECT * FROM hauling_activities WHERE ...","Response to query 32 with relevant information","ML_MODEL",0.7095321458344843,0,360,"POSITIVE",,"2025-10-12T11:02:56.126Z"
"cmhsbk3hu0itxmaftewfk7i0r","SESSION-0000033","cmhsbjkex000wmaftwerlnlyw","Query 33 - Information request","FUEL_REPORT","{""documents"":2,""relevance"":0.788316084512745}",,"Response to query 33 with relevant information","RULE_ENGINE",0.8299081212718886,1,753,"POSITIVE",,"2025-10-21T00:02:56.127Z"
"cmhsbk3hv0itymaftkg8zbryi","SESSION-0000034","cmhsbjkez000xmaftq52h94hy","Query 34 - Information request","FUEL_REPORT","{""documents"":7,""relevance"":0.8653487565881189}","SELECT * FROM hauling_activities WHERE ...","Response to query 34 with relevant information","RULE_ENGINE",0.7585359063886135,1,769,"NEGATIVE",,"2025-11-02T13:02:56.127Z"
"cmhsbk3hx0itzmaftc54vb760","SESSION-0000035","cmhsbjkf0000ymaftrwewg00q","Query 35 - Information request","DELAY_ANALYSIS","{""documents"":10,""relevance"":0.7412651628564899}","SELECT * FROM hauling_activities WHERE ...","Response to query 35 with relevant information","ML_MODEL",0.838319744298583,1,827,"POSITIVE",,"2025-10-13T07:02:56.127Z"
"cmhsbk3hy0iu0maftfpz4jz7l","SESSION-0000036","cmhsbjkf1000zmaftwzn6f7ss","Query 36 - Information request","MAINTENANCE_SCHEDULE","{""documents"":4,""relevance"":0.9238476062629828}","SELECT * FROM hauling_activities WHERE ...","Response to query 36 with relevant information","ML_MODEL",0.8764340527610566,2,1233,"NEGATIVE",,"2025-10-31T16:02:56.127Z"
"cmhsbk3i00iu1maft5c6xk4qo","SESSION-0000037","cmhsbjkf20010maftc643gj1c","Query 37 - Information request","DELAY_ANALYSIS","{""documents"":6,""relevance"":0.8977853730813445}","SELECT * FROM hauling_activities WHERE ...","Response to query 37 with relevant information","DATABASE",0.7258597106323728,2,1355,"POSITIVE","User feedback comment","2025-10-25T23:02:56.127Z"
