"id","incidentNumber","incidentDate","reportDate","location","miningSiteCode","truckId","excavatorId","reportedById","operatorId","incidentType","severity","description","rootCause","injuries","fatalities","equipmentDamage","productionLoss","estimatedCost","downtimeHours","status","actionTaken","preventiveMeasure","photos","documents","remarks","createdAt","updatedAt"
"cmhsbjymq0e6emaft9xps9hty","INC-000001","2025-07-08T23:02:49.871Z","2025-07-09T22:46:12.433Z","Location-40","SITE-0416","cmhsbjopw04g2maftmyern640",,"cmhsbjkh2002gmaftmwfsv5sa","cmhsbjo3203pemaftjgregzvy","SAFETY_VIOLATION","LOW","Incident 1 - COLLISION",,0,0,,,7476642.838780971,0,"REPORTED",,,,,,"2025-11-09T23:02:49.874Z","2025-11-09T23:02:49.874Z"
"cmhsbjymu0e6gmaft5vnphd0t","INC-000002","2025-07-05T23:02:49.871Z","2025-07-06T06:19:28.503Z","Location-30","SITE-0043",,,"cmhsbjkfc0017maft5m6xi7ll",,"COLLISION","LOW","Incident 2 - SAFETY_VIOLATION","Root cause analysis completed",0,0,,,1641452.835530459,0,"RESOLVED","Corrective action implemented",,,,,"2025-11-09T23:02:49.878Z","2025-11-09T23:02:49.878Z"
"cmhsbjymw0e6imaft296vsur9","INC-000003","2025-08-24T23:02:49.871Z","2025-08-25T14:17:31.742Z","Location-3","SITE-0189",,"cmhsbjpmg05dfmaftsl11lag3","cmhsbjkg0001pmaft6qk5mj2s",,"ACCIDENT","MEDIUM","Incident 3 - SAFETY_VIOLATION","Root cause analysis completed",0,0,"Equipment damage reported",44.90902339745028,40257387.64810421,17.58375683872498,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.880Z","2025-11-09T23:02:49.880Z"
"cmhsbjymz0e6kmaftfjn43n3d","INC-000004","2025-09-06T23:02:49.871Z","2025-09-07T09:08:33.728Z","Location-13","SITE-0037","cmhsbjoq304g8maftmlsvhmex",,"cmhsbjkgj0022maftbtrs9kf1","cmhsbjo3903pkmaftifkvyuw2","SPILL","HIGH","Incident 4 - ACCIDENT",,0,0,"Equipment damage reported",3444.230533290998,109482803.4223128,18.09407970478001,"REPORTED",,,,,,"2025-11-09T23:02:49.883Z","2025-11-09T23:02:49.883Z"
"cmhsbjyn10e6mmaftm4b1y77v","INC-000005","2025-07-17T23:02:49.871Z","2025-07-18T19:38:57.741Z","Location-18","SITE-0264",,,"cmhsbjkgl0024maftg0vbi1xo",,"ACCIDENT","LOW","Incident 5 - NEAR_MISS",,0,0,,,5516150.898171626,0,"REPORTED",,,,,,"2025-11-09T23:02:49.885Z","2025-11-09T23:02:49.885Z"
"cmhsbjyn30e6omaftazmoxpve","INC-000006","2025-08-22T23:02:49.871Z","2025-08-23T22:49:41.675Z","Location-6","SITE-0096","cmhsbjoq704gcmafttjd66228",,"cmhsbjkfk001dmaftyxs4y5tl","cmhsbjo3e03pomaftaqptdxm9","COLLISION","MEDIUM","Incident 6 - NEAR_MISS","Root cause analysis completed",0,0,"Equipment damage reported",3978.249032145057,15379394.78401169,14.50620017359706,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.887Z","2025-11-09T23:02:49.887Z"
"cmhsbjyn50e6qmafty3jt7dkp","INC-000007","2025-07-07T23:02:49.871Z","2025-07-08T03:58:06.836Z","Location-8","SITE-0122",,,"cmhsbjkh3002hmaft70hm5ite",,"COLLISION","HIGH","Incident 7 - EQUIPMENT_FAILURE","Root cause analysis completed",1,0,"Equipment damage reported",119.8873511625698,188018137.8897373,19.24374241912178,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.890Z","2025-11-09T23:02:49.890Z"
"cmhsbjyn70e6smaftuqvk8k7m","INC-000008","2025-10-04T23:02:49.871Z","2025-10-05T10:45:23.943Z","Location-26","SITE-0306","cmhsbjoqb04ggmaftlbdxmpwk","cmhsbjpmp05dkmaft38e8c85y","cmhsbjkf1000zmaftwzn6f7ss","cmhsbjo3h03psmaftn3w94bh5","ACCIDENT","HIGH","Incident 8 - ACCIDENT","Root cause analysis completed",0,0,"Equipment damage reported",1601.178141788614,67959645.90067314,2.541135863743742,"RESOLVED","Corrective action implemented",,,,,"2025-11-09T23:02:49.891Z","2025-11-09T23:02:49.891Z"
"cmhsbjyn90e6umafta4dpe5nt","INC-000009","2025-11-07T23:02:49.871Z","2025-11-08T00:13:57.077Z","Location-2","SITE-0182","cmhsbjoqc04gimaftmir337bi",,"cmhsbjkh7002kmaft1n6w9ofd","cmhsbjo3j03pumaftzk9u2mdg","EQUIPMENT_FAILURE","MEDIUM","Incident 9 - COLLISION","Root cause analysis completed",0,0,"Equipment damage reported",3228.287377017573,25610916.56544735,13.34417520052735,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-09T23:02:49.893Z","2025-11-09T23:02:49.893Z"
"cmhsbjynb0e6wmaftfcwobeya","INC-000010","2025-06-14T23:02:49.871Z","2025-06-15T16:37:03.858Z","Location-17","SITE-0230","cmhsbjoqe04gkmaftp8uc7fmj","cmhsbjpms05dmmaftjfy5f8c8","cmhsbjkhf002qmaftweiw8clj","cmhsbjo3l03pwmaft6vn89pet","NEAR_MISS","LOW","Incident 10 - EQUIPMENT_FAILURE","Root cause analysis completed",0,0,,,2779634.53214322,0,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-09T23:02:49.895Z","2025-11-09T23:02:49.895Z"
