"id","code","name","miningSiteId","excavatorId","isActive","maxQueueSize","latitude","longitude","coalSeam","coalQuality","createdAt","updatedAt"
"cmhsbjlpj00xemafty94kudlk","LP-0001","Loading Point 1","cmhsbjl1200gtmaft1ubw7644",,true,4,-5.118905473114858,116.485155806714,"Seam-B1","{""sulfur"":0.2183046564602223,""calorie"":5642.912288193223,""moisture"":9.060205613904635,""ash_content"":7.051262624980845}","2025-11-09T23:02:33.127Z","2025-11-09T23:02:33.127Z"
"cmhsbjlpm00xgmaftq8x6lxxp","LP-0002","Loading Point 2","cmhsbjl1f00h0maft2huv3pkm",,true,5,-3.245840283312842,116.5621945547701,"Seam-A1","{""sulfur"":0.7329225130754631,""calorie"":5425.14824357382,""moisture"":19.04946189691763,""ash_content"":9.883795944924328}","2025-11-09T23:02:33.130Z","2025-11-09T23:02:33.130Z"
"cmhsbjlpo00ximaftlehikb1x","LP-0003","Loading Point 3","cmhsbjl1k00h4maftgx0bbbu9",,true,7,-2.509538771219145,115.7126626361901,"Seam-C1","{""sulfur"":0.3978285133499635,""calorie"":5049.311261092464,""moisture"":15.89267665656494,""ash_content"":4.902529622157214}","2025-11-09T23:02:33.133Z","2025-11-09T23:02:33.133Z"
"cmhsbjlpq00xkmaftyjbafjsb","LP-0004","Loading Point 4","cmhsbjl2000hgmaftuyyvbplz",,true,6,-4.548884160308319,116.547969636483,"Seam-C1","{""sulfur"":0.2985092818038025,""calorie"":4569.077397774887,""moisture"":10.27508213189873,""ash_content"":9.651462674760932}","2025-11-09T23:02:33.135Z","2025-11-09T23:02:33.135Z"
"cmhsbjlps00xmmaftt8r1um20","LP-0005","Loading Point 5","cmhsbjl2p00hymaft49un52lz",,true,7,-4.754583839901576,116.8110150987777,"Seam-D","{""sulfur"":0.6897904593146802,""calorie"":5296.613249426828,""moisture"":8.197135137155994,""ash_content"":9.194778218002105}","2025-11-09T23:02:33.136Z","2025-11-09T23:02:33.136Z"
"cmhsbjlpu00xomafttdnmrkfs","LP-0006","Loading Point 6","cmhsbjl2t00i1maft001104sc",,true,4,-4.219304887465098,115.0728636742419,"Seam-C1","{""sulfur"":0.3525381039152853,""calorie"":5959.46312536656,""moisture"":18.16527802898978,""ash_content"":11.86766972072682}","2025-11-09T23:02:33.138Z","2025-11-09T23:02:33.138Z"
"cmhsbjlpv00xqmaft9thiboob","LP-0007","Loading Point 7","cmhsbjl3000i6maftbwryncan",,true,6,-3.845417610060489,115.1993974187988,"Seam-A1","{""sulfur"":0.7293963445187743,""calorie"":5116.370205241667,""moisture"":16.48216416798341,""ash_content"":10.53526077300518}","2025-11-09T23:02:33.140Z","2025-11-09T23:02:33.140Z"
"cmhsbjlpx00xsmaftfb7h861x","LP-0008","Loading Point 8","cmhsbjl3100i7maft7uyztqkh",,true,9,-5.11699593086493,119.2387331052471,"Seam-B2","{""sulfur"":0.4345623801402235,""calorie"":5953.795965535823,""moisture"":9.693229375337648,""ash_content"":6.989790133216738}","2025-11-09T23:02:33.141Z","2025-11-09T23:02:33.141Z"
"cmhsbjlpy00xumaft2ym0513o","LP-0009","Loading Point 9","cmhsbjl3400i9maftjjbg1dsl",,true,7,-5.454658393601842,116.6678357940042,"Seam-B2","{""sulfur"":0.3522139053164152,""calorie"":5073.070633839777,""moisture"":8.167655596105448,""ash_content"":8.093021789543977}","2025-11-09T23:02:33.143Z","2025-11-09T23:02:33.143Z"
"cmhsbjlq000xwmaftvopp6ksu","LP-0010","Loading Point 10","cmhsbjl3o00iomafti6ytkd5z",,true,9,-4.257237048662564,119.7422390999074,"Seam-C1","{""sulfur"":0.3824076145502407,""calorie"":5015.649215519595,""moisture"":19.99941624782552,""ash_content"":6.979209530015179}","2025-11-09T23:02:33.144Z","2025-11-09T23:02:33.144Z"
"cmhsbjlq100xymaftxcdck91j","LP-0011","Loading Point 11","cmhsbjl3r00iqmaft9rpm9lx2",,true,3,-5.090435302300402,116.8334015535398,"Seam-B2","{""sulfur"":0.601729876253337,""calorie"":5010.717497634334,""moisture"":9.454400355194439,""ash_content"":5.931960984921092}","2025-11-09T23:02:33.146Z","2025-11-09T23:02:33.146Z"
"cmhsbjlq300y0maftxg2k1fky","LP-0012","Loading Point 12","cmhsbjl3v00itmaft6cjod7he",,true,7,-5.325797915517096,117.9461841577723,"Seam-B1","{""sulfur"":0.5509247992585905,""calorie"":5990.532754208824,""moisture"":18.16181909977639,""ash_content"":5.24952005423699}","2025-11-09T23:02:33.147Z","2025-11-09T23:02:33.147Z"
"cmhsbjlq400y2maft08sv8oqk","LP-0013","Loading Point 13","cmhsbjl4a00j4maftmdl364la",,true,3,-3.06088741111511,118.5630284276923,"Seam-C1","{""sulfur"":0.2707477885469028,""calorie"":5964.320703942345,""moisture"":16.08404862118322,""ash_content"":5.051050473011715}","2025-11-09T23:02:33.149Z","2025-11-09T23:02:33.149Z"
"cmhsbjlq600y4maftdk7sbeeh","LP-0014","Loading Point 14","cmhsbjl4m00jcmaft72mluut9",,true,7,-3.121036498866193,120.0048414996372,"Seam-B1","{""sulfur"":0.787548409105532,""calorie"":5481.865564881481,""moisture"":15.22035946999428,""ash_content"":7.795973534801218}","2025-11-09T23:02:33.151Z","2025-11-09T23:02:33.151Z"
"cmhsbjlq800y6maft9seqy59a","LP-0015","Loading Point 15","cmhsbjl4p00jemaft9i2n2wf7",,true,6,-2.918498439915268,117.4402703343494,"Seam-C2","{""sulfur"":0.6820183902058585,""calorie"":5558.647554224054,""moisture"":19.35890741271563,""ash_content"":11.60378420169663}","2025-11-09T23:02:33.153Z","2025-11-09T23:02:33.153Z"
"cmhsbjlqa00y8maft28empg17","LP-0016","Loading Point 16","cmhsbjl4y00jkmaft0f8g3wll",,true,5,-2.894417146124915,117.9230308952186,"Seam-A2","{""sulfur"":0.3684186084270656,""calorie"":4616.713759927776,""moisture"":17.67397128143441,""ash_content"":8.857044982127576}","2025-11-09T23:02:33.154Z","2025-11-09T23:02:33.154Z"
"cmhsbjlqb00yamaftjyyn4yns","LP-0017","Loading Point 17","cmhsbjl4z00jlmaftq1l7o9k6",,true,5,-4.3353759348412,118.910547800469,"Seam-C2","{""sulfur"":0.2804550896441531,""calorie"":5579.871678251031,""moisture"":13.61100156038045,""ash_content"":5.633606140249203}","2025-11-09T23:02:33.155Z","2025-11-09T23:02:33.155Z"
"cmhsbjlqc00ycmaftr7zmeap8","LP-0018","Loading Point 18","cmhsbjl5100jmmaftqhdvf3e1",,true,4,-4.924547651186404,119.9697658355909,"Seam-A2","{""sulfur"":0.3856187413762362,""calorie"":4923.221616067197,""moisture"":19.98873426890905,""ash_content"":4.940012452704472}","2025-11-09T23:02:33.157Z","2025-11-09T23:02:33.157Z"
"cmhsbjlqe00yemaftv9zrcbs5","LP-0019","Loading Point 19","cmhsbjl5a00jtmaftydrkrnme",,true,7,-2.526874294296894,115.7895029704854,"Seam-A2","{""sulfur"":0.3543107453586212,""calorie"":5278.379093273476,""moisture"":14.50813426421606,""ash_content"":6.612848166067019}","2025-11-09T23:02:33.158Z","2025-11-09T23:02:33.158Z"
"cmhsbjlqg00ygmaftu2xev107","LP-0020","Loading Point 20","cmhsbjl5n00k3maftfhfgbd4a",,true,9,-5.439806548774036,119.2561433136484,"Seam-B2","{""sulfur"":0.6417382435763721,""calorie"":5796.201253960989,""moisture"":9.614074319648182,""ash_content"":5.147945850517539}","2025-11-09T23:02:33.160Z","2025-11-09T23:02:33.160Z"
"cmhsbjlqh00yimaftgsycig9r","LP-0021","Loading Point 21","cmhsbjl5u00k8mafttr488qqf",,true,8,-2.983006571013935,118.1278781726782,"Seam-A2","{""sulfur"":0.2397473967911505,""calorie"":4608.101104471369,""moisture"":17.54700646389831,""ash_content"":11.02841071783906}","2025-11-09T23:02:33.161Z","2025-11-09T23:02:33.161Z"
"cmhsbjlqi00ykmaftttu23u5p","LP-0022","Loading Point 22","cmhsbjl5w00k9maft1a7a6lh4",,true,9,-3.878571568775297,117.5542352779077,"Seam-A1","{""sulfur"":0.7727387684201865,""calorie"":4924.621956331543,""moisture"":17.65655450828203,""ash_content"":11.24204035160779}","2025-11-09T23:02:33.163Z","2025-11-09T23:02:33.163Z"
"cmhsbjlqk00ymmaftcz09ak1v","LP-0023","Loading Point 23","cmhsbjl5y00kbmaftcc2w4o7l",,true,8,-4.155691709179356,115.0999694084925,"Seam-D","{""sulfur"":0.5777367112814237,""calorie"":5128.111744374042,""moisture"":14.01259004472921,""ash_content"":5.661808722995305}","2025-11-09T23:02:33.164Z","2025-11-09T23:02:33.164Z"
"cmhsbjlqm00yomaft3gjlrd4u","LP-0024","Loading Point 24","cmhsbjl6200kemaftlztwrepv",,true,8,-2.566838594062582,116.5854920940148,"Seam-A2","{""sulfur"":0.3641243979243686,""calorie"":4795.008308168949,""moisture"":19.21827943778301,""ash_content"":4.533594169863838}","2025-11-09T23:02:33.166Z","2025-11-09T23:02:33.166Z"
"cmhsbjlqo00yqmaft9s31k30g","LP-0025","Loading Point 25","cmhsbjl6300kfmaft2tfnuus0",,true,7,-4.86952676740744,119.9746093360807,"Seam-B2","{""sulfur"":0.6601101522024628,""calorie"":5505.940296807496,""moisture"":12.01212809610483,""ash_content"":6.118036861462082}","2025-11-09T23:02:33.168Z","2025-11-09T23:02:33.168Z"
"cmhsbjlqp00ysmafth1ssinze","LP-0026","Loading Point 26","cmhsbjl6e00kmmafto4599e0p",,true,7,-2.556248983396789,117.743440310536,"Seam-A2","{""sulfur"":0.6034675227063474,""calorie"":5675.112741359024,""moisture"":17.01741393466061,""ash_content"":6.641178390743475}","2025-11-09T23:02:33.170Z","2025-11-09T23:02:33.170Z"
"cmhsbjlqr00yumaftsmzjfr4r","LP-0027","Loading Point 27","cmhsbjl6k00krmaftpms3m5i0",,true,5,-4.274293468943199,116.5255175968573,"Seam-B2","{""sulfur"":0.546014020585628,""calorie"":5175.675405679951,""moisture"":12.88361987018393,""ash_content"":6.072938318937386}","2025-11-09T23:02:33.171Z","2025-11-09T23:02:33.171Z"
"cmhsbjlqs00ywmaft48hxu0zt","LP-0028","Loading Point 28","cmhsbjl7g00lfmaftat6c21hr",,true,6,-2.908276075819778,118.7667583358276,"Seam-A1","{""sulfur"":0.3737842953316985,""calorie"":5434.351880638007,""moisture"":15.72330958797484,""ash_content"":6.79748323983412}","2025-11-09T23:02:33.173Z","2025-11-09T23:02:33.173Z"
"cmhsbjlqu00yymaftu1h3bqu4","LP-0029","Loading Point 29","cmhsbjl7t00lomaftih016hyz",,true,3,-5.184891911158831,119.7145428219649,"Seam-A2","{""sulfur"":0.5472546070997815,""calorie"":4603.926580618187,""moisture"":10.92693147137425,""ash_content"":10.47448439818191}","2025-11-09T23:02:33.175Z","2025-11-09T23:02:33.175Z"
"cmhsbjlqw00z0mafttkc1ai6s","LP-0030","Loading Point 30","cmhsbjl7u00lpmaftra23t5ar",,true,9,-2.818971293782934,119.2744416518653,"Seam-C1","{""sulfur"":0.6459789603538891,""calorie"":4888.497669475867,""moisture"":14.17692142943693,""ash_content"":5.703175308105649}","2025-11-09T23:02:33.176Z","2025-11-09T23:02:33.176Z"
"cmhsbjlqx00z2maftsnzv03yj","LP-0031","Loading Point 31","cmhsbjl8j00m8maft2vjcqe37",,true,3,-3.825690210212288,116.4496743009023,"Seam-A1","{""sulfur"":0.4699196779407596,""calorie"":5236.443966173947,""moisture"":8.98716872954894,""ash_content"":8.602189933273733}","2025-11-09T23:02:33.178Z","2025-11-09T23:02:33.178Z"
"cmhsbjlqz00z4maftezy0jpax","LP-0032","Loading Point 32","cmhsbjl8u00mgmaftbc19zpnh",,true,6,-3.67234497065451,117.9280325507003,"Seam-B2","{""sulfur"":0.4920732735482353,""calorie"":4678.709159850946,""moisture"":12.49693024183837,""ash_content"":5.689679444486677}","2025-11-09T23:02:33.179Z","2025-11-09T23:02:33.179Z"
"cmhsbjlr100z6maftrebim24t","LP-0033","Loading Point 33","cmhsbjl8y00mjmaftlibsaesk",,true,7,-3.820483547981526,118.210301782996,"Seam-C2","{""sulfur"":0.7381147702626965,""calorie"":5759.974291039056,""moisture"":10.94866610357797,""ash_content"":5.738458026171537}","2025-11-09T23:02:33.181Z","2025-11-09T23:02:33.181Z"
"cmhsbjlr400z8maftbsn8w8cp","LP-0034","Loading Point 34","cmhsbjl9100mlmaftj6yft1yk",,true,5,-3.012128434612584,117.4431233941573,"Seam-C1","{""sulfur"":0.7062859112140554,""calorie"":5474.026194515741,""moisture"":8.598253811363907,""ash_content"":7.406926570282405}","2025-11-09T23:02:33.184Z","2025-11-09T23:02:33.184Z"
"cmhsbjlr500zamaftyzp69ry8","LP-0035","Loading Point 35","cmhsbjl9b00msmaftgxlkicxd",,true,9,-2.921457405576511,118.8980381957832,"Seam-A1","{""sulfur"":0.4225505260487493,""calorie"":5526.77365536557,""moisture"":19.6284139607641,""ash_content"":5.467456386796757}","2025-11-09T23:02:33.186Z","2025-11-09T23:02:33.186Z"
"cmhsbjlr700zcmaftxy4t99rw","LP-0036","Loading Point 36","cmhsbjl9c00mtmaft3m8mqlc0",,true,7,-4.823666275083331,115.2675807368332,"Seam-C2","{""sulfur"":0.2680151223720091,""calorie"":5654.920651156432,""moisture"":12.21500318799178,""ash_content"":8.412264419365046}","2025-11-09T23:02:33.187Z","2025-11-09T23:02:33.187Z"
"cmhsbjlr800zemaftyycuuo2d","LP-0037","Loading Point 37","cmhsbjl9p00n2maftcf7kkqjg",,true,7,-2.511282374498582,116.9616797661203,"Seam-B2","{""sulfur"":0.5696249419608584,""calorie"":4616.698435863804,""moisture"":11.29050742203763,""ash_content"":9.615511088885839}","2025-11-09T23:02:33.189Z","2025-11-09T23:02:33.189Z"
"cmhsbjlra00zgmaft0yh4qlb1","LP-0038","Loading Point 38","cmhsbjla500n7maftwppt822j",,true,8,-5.162524427644158,119.2230542285389,"Seam-B2","{""sulfur"":0.64433305322834,""calorie"":5056.591770616442,""moisture"":12.5476509214504,""ash_content"":9.628465197742335}","2025-11-09T23:02:33.190Z","2025-11-09T23:02:33.190Z"
"cmhsbjlrb00zimaftp8j4sfnz","LP-0039","Loading Point 39","cmhsbjlad00nbmaft0x99qpla",,true,7,-5.387779592667655,116.982513042917,"Seam-A1","{""sulfur"":0.613335254188593,""calorie"":5039.639146703115,""moisture"":13.94329963245007,""ash_content"":6.982152001121085}","2025-11-09T23:02:33.192Z","2025-11-09T23:02:33.192Z"
"cmhsbjlrd00zkmaftf9rtvy00","LP-0040","Loading Point 40","cmhsbjlag00ncmaftbeykzek2",,true,4,-3.944102499684883,116.2910516190501,"Seam-A1","{""sulfur"":0.2940928728129877,""calorie"":5464.962488103325,""moisture"":19.00237342823237,""ash_content"":5.78364612787154}","2025-11-09T23:02:33.193Z","2025-11-09T23:02:33.193Z"
"cmhsbjlre00zmmaft5f0xep13","LP-0041","Loading Point 41","cmhsbjlbu00nxmaft07seaad6",,true,6,-2.994416287821587,115.6366896511734,"Seam-A1","{""sulfur"":0.585537299381374,""calorie"":5762.856193414591,""moisture"":12.60418796290327,""ash_content"":7.390508324889247}","2025-11-09T23:02:33.195Z","2025-11-09T23:02:33.195Z"
"cmhsbjlrg00zomaftiqm41flo","LP-0042","Loading Point 42","cmhsbjlbw00nymaft2twuz2nh",,false,4,-5.455901637193068,115.6405966097277,"Seam-D","{""sulfur"":0.6268371312700023,""calorie"":5669.406272390911,""moisture"":8.05033733572101,""ash_content"":11.43988588261953}","2025-11-09T23:02:33.196Z","2025-11-09T23:02:33.196Z"
"cmhsbjlrh00zqmaftqo9m50xi","LP-0043","Loading Point 43","cmhsbjlcb00o4maftr5ljy2nf",,true,3,-3.81862180886239,118.7076708522212,"Seam-C1","{""sulfur"":0.7246981739741036,""calorie"":4695.629069211496,""moisture"":13.22977885072555,""ash_content"":10.63079579748097}","2025-11-09T23:02:33.198Z","2025-11-09T23:02:33.198Z"
"cmhsbjlrk00zsmafthwfisna7","LP-0044","Loading Point 44","cmhsbjlcy00ofmaftkaowi7k1",,false,7,-4.293323653135535,117.19343706217,"Seam-C1","{""sulfur"":0.5679433379101876,""calorie"":5872.065747541807,""moisture"":15.70331855629793,""ash_content"":10.00795143916304}","2025-11-09T23:02:33.200Z","2025-11-09T23:02:33.200Z"
"cmhsbjlrl00zumaft2lnom8d8","LP-0045","Loading Point 45","cmhsbjld400oimaft1bu6j357",,true,4,-3.492053873915703,115.5653405295777,"Seam-A1","{""sulfur"":0.3797260582866983,""calorie"":4750.074601349113,""moisture"":11.97727548692824,""ash_content"":4.400662572247834}","2025-11-09T23:02:33.202Z","2025-11-09T23:02:33.202Z"
"cmhsbjlrn00zwmaft2ld1085v","LP-0046","Loading Point 46","cmhsbjldd00ommaftp51hua2k",,true,9,-5.076089154067501,118.7173127058822,"Seam-C1","{""sulfur"":0.6609640250133944,""calorie"":4597.898410229839,""moisture"":12.13723860110011,""ash_content"":11.81509159706206}","2025-11-09T23:02:33.203Z","2025-11-09T23:02:33.203Z"
"cmhsbjlro00zymaftet7998t1","LP-0047","Loading Point 47","cmhsbjlds00owmaft9j257nzv",,true,4,-2.877606005278309,117.6178805766794,"Seam-B2","{""sulfur"":0.7827529237543387,""calorie"":4694.254422585776,""moisture"":18.22325699742467,""ash_content"":9.87982665253807}","2025-11-09T23:02:33.205Z","2025-11-09T23:02:33.205Z"
"cmhsbjlrq0100mafttzkyq7to","LP-0048","Loading Point 48","cmhsbjldv00oymaft5q3qizb9",,true,6,-3.905261724713902,118.6013425210222,"Seam-A1","{""sulfur"":0.3335316031385545,""calorie"":5283.565692402061,""moisture"":17.48777196032275,""ash_content"":9.09321882419441}","2025-11-09T23:02:33.206Z","2025-11-09T23:02:33.206Z"
"cmhsbjlrr0102maftx1y6khxe","LP-0049","Loading Point 49","cmhsbjldw00ozmafteu2ak4gm",,true,3,-3.618025462203102,117.4545189968147,"Seam-A1","{""sulfur"":0.5680276853712826,""calorie"":5239.940815153266,""moisture"":10.89021071440041,""ash_content"":4.832991962992951}","2025-11-09T23:02:33.208Z","2025-11-09T23:02:33.208Z"
"cmhsbjlrt0104mafts4gez292","LP-0050","Loading Point 50","cmhsbjled00p7maftuqkiaz5z",,true,5,-3.744250847839099,115.6347571896045,"Seam-B2","{""sulfur"":0.7870928372698849,""calorie"":5400.331888428214,""moisture"":11.13029823980242,""ash_content"":9.343594299113722}","2025-11-09T23:02:33.209Z","2025-11-09T23:02:33.209Z"
"cmhsbjlru0106maft8rq0268i","LP-0051","Loading Point 51","cmhsbjlek00pbmafteu42cv30",,true,5,-2.937869040598558,115.3604387724966,"Seam-C2","{""sulfur"":0.5746893020851249,""calorie"":4904.938747465906,""moisture"":10.93821242869418,""ash_content"":11.81575052399774}","2025-11-09T23:02:33.211Z","2025-11-09T23:02:33.211Z"
"cmhsbjlrw0108maft3l898k3h","LP-0052","Loading Point 52","cmhsbjlem00pcmaft280wq111",,false,8,-3.234965936275422,119.2269631706826,"Seam-A2","{""sulfur"":0.619604823027402,""calorie"":5713.130079619636,""moisture"":17.70936864734719,""ash_content"":10.87856419261882}","2025-11-09T23:02:33.212Z","2025-11-09T23:02:33.212Z"
"cmhsbjlrx010amaft6lmj67x8","LP-0053","Loading Point 53","cmhsbjleo00pdmafttawec34m",,true,3,-2.966283870409647,117.9563693930366,"Seam-B2","{""sulfur"":0.4075253908433485,""calorie"":5342.430942408357,""moisture"":10.87760822676795,""ash_content"":8.716747661882678}","2025-11-09T23:02:33.213Z","2025-11-09T23:02:33.213Z"
