"id","code","name","siteType","isActive","latitude","longitude","elevation","capacity","description","createdAt","updatedAt"
"cmhsbjl0u00gpmaftj3rk01bv","SITE-0001","Muara Teweh STOCKPILE A","STOCKPILE",true,-3.199154590179875,118.4834009963864,171.9491668969722,110141.4270738034,"Mining site 1 - Muara Teweh region","2025-11-09T23:02:32.239Z","2025-11-09T23:02:32.239Z"
"cmhsbjl0x00gqmaft1ztvtcf4","SITE-0002","Tanjung PORT B","PORT",true,-3.243191538785748,118.0898792229067,139.1501793768257,,"Mining site 2 - Tanjung region","2025-11-09T23:02:32.242Z","2025-11-09T23:02:32.242Z"
"cmhsbjl0z00grmaft8ghpksnm","SITE-0003","Balikpapan PORT C","PORT",false,-4.052048782107509,118.6689227230989,119.1652259038964,,"Mining site 3 - Balikpapan region","2025-11-09T23:02:32.244Z","2025-11-09T23:02:32.244Z"
"cmhsbjl1100gsmaftbhyvoaql","SITE-0004","Lati STOCKPILE D","STOCKPILE",true,-4.196844428891437,117.2689567508092,84.54703227713912,166802.9057744448,"Mining site 4 - Lati region","2025-11-09T23:02:32.245Z","2025-11-09T23:02:32.245Z"
"cmhsbjl1200gtmaft1ubw7644","SITE-0005","Tutupan PIT E","PIT",true,-5.122679990054182,116.4862069945397,104.6779016438128,,"Mining site 5 - Tutupan region","2025-11-09T23:02:32.246Z","2025-11-09T23:02:32.246Z"
"cmhsbjl1400gumafto23cygtg","SITE-0006","Satui STOCKPILE F","STOCKPILE",true,-3.890064490606682,118.868988730061,82.93118183930969,211764.9587329061,"Mining site 6 - Satui region","2025-11-09T23:02:32.249Z","2025-11-09T23:02:32.249Z"
"cmhsbjl1700gvmaftc22m7b8w","SITE-0007","Melak ROM_PAD G","ROM_PAD",true,-3.744957239824808,115.0199682171422,199.4309649017659,,"Mining site 7 - Melak region","2025-11-09T23:02:32.251Z","2025-11-09T23:02:32.251Z"
"cmhsbjl1900gwmaftm5drlqmo","SITE-0008","Tutupan CRUSHER H","CRUSHER",true,-4.877907131821412,116.2559184670606,165.9236940801603,,"Mining site 8 - Tutupan region","2025-11-09T23:02:32.253Z","2025-11-09T23:02:32.253Z"
"cmhsbjl1a00gxmaft0h27nqun","SITE-0009","Lati STOCKPILE I","STOCKPILE",true,-3.840189008365028,117.8592322768785,118.8803924722517,166090.9586583234,"Mining site 9 - Lati region","2025-11-09T23:02:32.254Z","2025-11-09T23:02:32.254Z"
"cmhsbjl1b00gymaftedq8fug3","SITE-0010","Melak PORT J","PORT",true,-3.149362073029592,116.8719322070421,73.30691327984928,,"Mining site 10 - Melak region","2025-11-09T23:02:32.256Z","2025-11-09T23:02:32.256Z"
