"id","recommendationId","recommendation","category","priority","justification","contextData","estimatedImpact","estimatedSavings","status","executedBy","executedAt","actualImpact","effectiveness","remarks","timestamp","updatedAt"
"cmhsbk2re0icdmaft20ou4dbj","REC-0000001","Recommendation 1 - Optimize operational efficiency","SAFETY","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":696}",,28981868.66472312,"PENDING",,,,,,"2025-09-13T23:02:55.224Z","2025-11-09T23:02:55.227Z"
"cmhsbk2rh0icemaftf3qgvmrn","REC-0000002","Recommendation 2 - Optimize operational efficiency","SAFETY","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":355}","Positive impact on efficiency",32580949.88995789,"EXECUTED","cmhsbjkdp0001maftund967le","2025-09-18T02:58:29.610Z","Implemented successfully",0.7854024093746399,,"2025-09-15T23:02:55.224Z","2025-11-09T23:02:55.230Z"
"cmhsbk2rj0icfmaftwtsim8h3","REC-0000003","Recommendation 3 - Optimize operational efficiency","ROUTE_OPTIMIZATION","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":715}","Positive impact on efficiency",24687796.98911031,"EXECUTED","cmhsbjkdq0002maftd9q9pi93","2025-10-05T04:31:23.574Z","Implemented successfully",0.9142462121794841,,"2025-10-01T23:02:55.224Z","2025-11-09T23:02:55.231Z"
"cmhsbk2rl0icgmaftnuyfm1sz","REC-0000004","Recommendation 4 - Optimize operational efficiency","MAINTENANCE","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":458}","Positive impact on efficiency",8708060.442349259,"EXECUTED","cmhsbjkds0003maftiu78c3i0","2025-10-10T00:17:08.384Z","Implemented successfully",0.9324386992439339,,"2025-10-04T23:02:55.224Z","2025-11-09T23:02:55.233Z"
"cmhsbk2rn0ichmaft86n4umti","REC-0000005","Recommendation 5 - Optimize operational efficiency","PRODUCTION","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":644}","Positive impact on efficiency",51589139.07121661,"IGNORED",,,,,,"2025-10-08T23:02:55.224Z","2025-11-09T23:02:55.235Z"
"cmhsbk2ro0icimaftxbui6lc1","REC-0000006","Recommendation 6 - Optimize operational efficiency","MAINTENANCE","URGENT","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":765}","Positive impact on efficiency",43870334.02376086,"IGNORED",,,,,,"2025-10-20T23:02:55.224Z","2025-11-09T23:02:55.237Z"
"cmhsbk2rq0icjmaftx43lx5yg","REC-0000007","Recommendation 7 - Optimize operational efficiency","PRODUCTION","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":319}",,35570182.90159002,"PENDING",,,,,,"2025-10-02T23:02:55.224Z","2025-11-09T23:02:55.238Z"
"cmhsbk2rr0ickmaftkq533chw","REC-0000008","Recommendation 8 - Optimize operational efficiency","SAFETY","LOW","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":495}",,44310715.56818876,"PENDING",,,,,,"2025-09-18T23:02:55.224Z","2025-11-09T23:02:55.240Z"
"cmhsbk2rt0iclmaft1z9qn0yx","REC-0000009","Recommendation 9 - Optimize operational efficiency","FUEL_EFFICIENCY","MEDIUM","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":688}","Positive impact on efficiency",5566225.948989041,"EXECUTED","cmhsbjkdz0008maft3coo45ec","2025-11-17T22:30:47.755Z","Implemented successfully",0.814644035012758,,"2025-11-08T23:02:55.224Z","2025-11-09T23:02:55.241Z"
"cmhsbk2ru0icmmaftow23quc4","REC-0000010","Recommendation 10 - Optimize operational efficiency","ALLOCATION","HIGH","Based on historical data analysis and current trends","{""source"":""AI_ANALYSIS"",""dataPoints"":818}","Positive impact on efficiency",24946480.57153042,"IGNORED",,,,,,"2025-09-19T23:02:55.224Z","2025-11-09T23:02:55.242Z"
