"id","code","name","miningSiteId","startPoint","endPoint","distance","roadCondition","maxSpeed","gradient","isActive","lastMaintenance","createdAt","updatedAt"
"cmhsbjn8x02s2maft90hi31ty","ROAD-0001","Road Segment 1","cmhsbjl0u00gpmaftj3rk01bv","Point-A","Point-B",4.703302800638965,"EXCELLENT",20,5.060432631862662,true,"2025-10-02T23:02:35.118Z","2025-11-09T23:02:35.121Z","2025-11-09T23:02:35.121Z"
"cmhsbjn9102s4maftjbunb027","ROAD-0002","Road Segment 2","cmhsbjl0x00gqmaft1ztvtcf4","Point-B","Point-C",4.031860891650609,"GOOD",45,8.119750883893367,true,,"2025-11-09T23:02:35.125Z","2025-11-09T23:02:35.125Z"
"cmhsbjn9402s6maft6lnx6hjr","ROAD-0003","Road Segment 3","cmhsbjl0z00grmaft8ghpksnm","Point-C","Point-D",2.807981677455913,"FAIR",40,6.838632008419228,true,"2025-10-31T23:02:35.118Z","2025-11-09T23:02:35.128Z","2025-11-09T23:02:35.128Z"
"cmhsbjn9602s8maftlh3vtu1i","ROAD-0004","Road Segment 4","cmhsbjl1100gsmaftbhyvoaql","Point-D","Point-E",3.932617080990356,"POOR",46,8.163083603918514,true,,"2025-11-09T23:02:35.131Z","2025-11-09T23:02:35.131Z"
"cmhsbjn9902samaftspufa9jx","ROAD-0005","Road Segment 5","cmhsbjl1200gtmaft1ubw7644","Point-E","Point-F",2.112822422837032,"FAIR",36,-3.984647860026621,true,,"2025-11-09T23:02:35.134Z","2025-11-09T23:02:35.134Z"
"cmhsbjn9c02scmaftvpuvi4ll","ROAD-0006","Road Segment 6","cmhsbjl1400gumafto23cygtg","Point-F","Point-G",0.6311405002884235,"POOR",26,5.738029636899798,true,,"2025-11-09T23:02:35.137Z","2025-11-09T23:02:35.137Z"
"cmhsbjn9f02semaftxzrx0vcq","ROAD-0007","Road Segment 7","cmhsbjl1700gvmaftc22m7b8w","Point-G","Point-H",4.035013234421603,"EXCELLENT",42,2.517579203240085,true,"2025-10-15T23:02:35.118Z","2025-11-09T23:02:35.140Z","2025-11-09T23:02:35.140Z"
"cmhsbjn9k02sgmaft8cl66xz5","ROAD-0008","Road Segment 8","cmhsbjl1900gwmaftm5drlqmo","Point-H","Point-I",2.3654218732736,"GOOD",33,4.693760233711565,true,"2025-10-01T23:02:35.118Z","2025-11-09T23:02:35.144Z","2025-11-09T23:02:35.144Z"
"cmhsbjn9n02simaft99nup1gp","ROAD-0009","Road Segment 9","cmhsbjl1a00gxmaft0h27nqun","Point-I","Point-J",2.304091548202947,"EXCELLENT",28,8.805667050438377,true,,"2025-11-09T23:02:35.147Z","2025-11-09T23:02:35.147Z"
"cmhsbjn9q02skmaftm0xl5pue","ROAD-0010","Road Segment 10","cmhsbjl1b00gymaftedq8fug3","Point-J","Point-K",2.611103171347801,"EXCELLENT",34,7.958110410876273,true,,"2025-11-09T23:02:35.150Z","2025-11-09T23:02:35.150Z"
"cmhsbjn9s02smmaft0aj2kbnn","ROAD-0011","Road Segment 11","cmhsbjl1d00gzmafto4svpike","Point-K","Point-L",2.932981060331199,"FAIR",47,-2.376750551128091,false,"2025-10-05T23:02:35.118Z","2025-11-09T23:02:35.153Z","2025-11-09T23:02:35.153Z"
"cmhsbjn9u02somaftjs4tegld","ROAD-0012","Road Segment 12","cmhsbjl1f00h0maft2huv3pkm","Point-L","Point-M",4.745930309775897,"FAIR",37,3.99117708497907,true,"2025-10-12T23:02:35.118Z","2025-11-09T23:02:35.155Z","2025-11-09T23:02:35.155Z"
