"id","scheduleNumber","vesselId","voyageNumber","loadingPort","destination","etaLoading","etsLoading","etaDestination","ataLoading","loadingStart","loadingComplete","atsLoading","ataDestination","plannedQuantity","actualQuantity","buyer","contractNumber","status","remarks","createdAt","updatedAt"
"cmhsbjs9d0782maft28q1fjhn","SCH-0000001","cmhsbjr2l06apmaftj0atzo30","VY-00001","Tarakan","Paiton","2025-09-11T23:02:41.614Z","2025-09-12T13:32:39.219Z","2025-09-13T22:57:02.589Z","2025-09-12T00:57:10.246Z",,"2025-09-12T13:32:39.219Z",,,17771.68627574138,16921.97108451646,"PLN","CN-4893","DISCHARGING",,"2025-11-09T23:02:41.617Z","2025-11-09T23:02:41.617Z"
"cmhsbjs9g0784maftaq7yzuqo","SCH-0000002","cmhsbjr2o06aqmafteqr0op5s","VY-00002","Tarakan","Paiton","2025-09-29T23:02:41.614Z","2025-09-30T15:13:13.620Z","2025-10-03T10:13:24.451Z","2025-09-30T00:52:14.243Z","2025-09-29T23:20:18.421Z","2025-09-30T15:13:13.620Z",,"2025-10-03T10:54:17.560Z",6881.697533730519,6544.725022180957,"PT Petrokimia","CN-9910","CANCELLED",,"2025-11-09T23:02:41.621Z","2025-11-09T23:02:41.621Z"
"cmhsbjs9i0786maft3mil6soa","SCH-0000003","cmhsbjr2q06armafthyett0dl","VY-00003","Tarakan","Cilacap","2025-11-09T23:02:41.614Z","2025-11-10T07:10:17.944Z","2025-11-12T04:53:40.786Z",,"2025-11-09T23:27:59.082Z","2025-11-10T07:10:17.944Z","2025-11-10T06:29:47.529Z","2025-11-12T03:57:15.163Z",7853.265466667877,,"PT Petrokimia","CN-5474","SCHEDULED",,"2025-11-09T23:02:41.623Z","2025-11-09T23:02:41.623Z"
"cmhsbjs9k0788maftpj572u5a","SCH-0000004","cmhsbjr2r06asmaftedq6p340","VY-00004","Tarakan","Lontar","2025-09-24T23:02:41.614Z","2025-09-25T12:54:37.388Z","2025-09-28T11:42:16.377Z",,"2025-09-25T00:16:01.803Z","2025-09-25T12:54:37.388Z","2025-09-25T12:58:51.606Z",,15629.47146995986,15619.43892809161,"PT Semen Indonesia","CN-1106","STANDBY",,"2025-11-09T23:02:41.624Z","2025-11-09T23:02:41.624Z"
"cmhsbjs9m078amaftwso79z6x","SCH-0000005","cmhsbjr2t06atmaftdl9fso1s","VY-00005","Samarinda","Tanjung Priok","2025-11-05T23:02:41.614Z","2025-11-06T19:35:19.122Z","2025-11-09T18:05:03.202Z","2025-11-06T00:37:05.522Z",,"2025-11-06T19:35:19.122Z",,,8699.160557188312,,"PT Semen Indonesia","CN-4208","ARRIVED",,"2025-11-09T23:02:41.626Z","2025-11-09T23:02:41.626Z"
"cmhsbjs9o078cmaft7ro0ol2f","SCH-0000006","cmhsbjr2u06aumaftodvs8pgx","VY-00006","Samarinda","Merak","2025-09-15T23:02:41.614Z","2025-09-16T12:57:12.135Z","2025-09-18T06:52:21.855Z","2025-09-15T23:27:47.664Z","2025-09-15T23:15:52.620Z","2025-09-16T12:57:12.135Z",,,10338.76989784916,10588.88223365093,"PLN","CN-1657","SCHEDULED",,"2025-11-09T23:02:41.628Z","2025-11-09T23:02:41.628Z"
"cmhsbjs9q078emaftlp7i6i4g","SCH-0000007","cmhsbjr2w06avmaft6zlaef3b","VY-00007","Tarakan","Paiton","2025-10-12T23:02:41.614Z","2025-10-13T10:36:35.906Z","2025-10-16T09:16:57.509Z","2025-10-13T00:25:27.974Z","2025-10-13T00:41:52.275Z","2025-10-13T10:36:35.906Z",,,11250.82622153953,,"PT Steel Indonesia","CN-3425","CANCELLED",,"2025-11-09T23:02:41.630Z","2025-11-09T23:02:41.630Z"
"cmhsbjs9s078gmaftntx97xl8","SCH-0000008","cmhsbjr2x06awmaftqmivqan6","VY-00008","Muara Pantai","Cilacap","2025-10-31T23:02:41.614Z","2025-11-01T19:31:46.504Z","2025-11-05T01:52:19.132Z","2025-10-31T23:37:23.723Z",,"2025-11-01T19:31:46.504Z",,,10556.47380987956,,"PT Pupuk Indonesia","CN-5238","ARRIVED",,"2025-11-09T23:02:41.632Z","2025-11-09T23:02:41.632Z"
"cmhsbjs9u078imaftm1smrx2q","SCH-0000009","cmhsbjr2y06axmaftom9o1njf","VY-00009","Samarinda","Lontar","2025-10-12T23:02:41.614Z","2025-10-13T12:48:48.271Z","2025-10-17T07:24:08.577Z","2025-10-12T22:02:15.195Z",,"2025-10-13T12:48:48.271Z",,"2025-10-17T07:28:45.664Z",19260.71582732292,18629.95448915071,"PT Semen Indonesia","CN-5876","DISCHARGING",,"2025-11-09T23:02:41.635Z","2025-11-09T23:02:41.635Z"
"cmhsbjs9w078kmaftew541ggg","SCH-0000010","cmhsbjr2z06aymaftbsu7p50j","VY-00010","Tarakan","Suralaya","2025-10-11T23:02:41.614Z","2025-10-12T18:38:42.621Z","2025-10-16T14:34:31.813Z","2025-10-11T22:06:50.906Z","2025-10-11T23:57:10.388Z","2025-10-12T18:38:42.621Z","2025-10-12T19:13:27.093Z",,7859.557416115131,7622.537677081619,"PT Petrokimia","CN-2993","LOADING",,"2025-11-09T23:02:41.636Z","2025-11-09T23:02:41.636Z"
