"id","shipmentNumber","vesselId","sailingScheduleId","shipmentDate","loadingDate","coalType","quantity","calorie","totalMoisture","ashContent","sulfurContent","stockpileOrigin","buyer","destination","surveyorName","blNumber","coaNumber","freightCost","totalFreight","remarks","createdAt","updatedAt"
"cmhsbjt4f085emaftvirxkk6h","SHP-0000001","cmhsbjr2l06apmaftj0atzo30","cmhsbjs9d0782maft28q1fjhn","2025-09-19T23:02:42.733Z","2025-09-20T02:16:53.881Z","ICI-3",16988.38786137477,4605.974349646413,17.6820218861187,6.175247051693885,0.3673934315761045,"ROM-PIT-02","PT Pupuk Indonesia","Paiton","Surveyor Inspec","BL-47802","COA-52343",24.72876188000514,420101.7981491064,,"2025-11-09T23:02:42.736Z","2025-11-09T23:02:42.736Z"
"cmhsbjt4j085gmaft0qxfsv09","SHP-0000002","cmhsbjr2o06aqmafteqr0op5s","cmhsbjs9g0784maftaq7yzuqo","2025-10-06T23:02:42.733Z","2025-10-07T06:16:50.903Z","GCV-6000",6655.496165729519,5961.891666443735,15.13236836453005,8.497030055300261,0.2717813518188591,"ROM-PIT-01","PLN","Gresik","Surveyor Marine","BL-40820","COA-75264",18.4732784485488,122948.8338827703,,"2025-11-09T23:02:42.739Z","2025-11-09T23:02:42.739Z"
"cmhsbjt4l085imaftofbxwq9p","SHP-0000003","cmhsbjr2q06armafthyett0dl","cmhsbjs9i0786maft3mil6soa","2025-09-25T23:02:42.733Z","2025-09-26T09:03:23.728Z","ICI-1",7544.065889645735,4810.795902130273,14.35574739231909,7.025918747779773,0.5968510845853513,"ROM-PIT-06","PT Pupuk Indonesia","Gresik","Surveyor AB","BL-49941","COA-49201",22.43578704687988,169257.0557677221,,"2025-11-09T23:02:42.741Z","2025-11-09T23:02:42.741Z"
"cmhsbjt4m085kmaftni417n5v","SHP-0000004","cmhsbjr2r06asmaftedq6p340","cmhsbjs9k0788maftpj572u5a","2025-11-06T23:02:42.733Z","2025-11-07T00:17:39.113Z","ICI-4",15824.61654936192,4845.252389080364,17.87199156930913,8.194756348369607,0.4202130105334846,"ROM-PIT-10","PLN","Merak","Surveyor PTX","BL-23505","COA-97719",14.16204813893879,224108.9813523109,,"2025-11-09T23:02:42.743Z","2025-11-09T23:02:42.743Z"
"cmhsbjt4o085mmaftf57yd6es","SHP-0000005","cmhsbjr2t06atmaftdl9fso1s","cmhsbjs9m078amaftwso79z6x","2025-10-11T23:02:42.733Z","2025-10-12T02:59:12.041Z","ICI-1",8909.275990687735,4828.140524778582,15.54325710531546,9.419398374747583,0.731711025355472,"ROM-PIT-02","PT Petrokimia","Cilacap","Surveyor Geo","BL-68964","COA-12569",11.42202265027008,101761.9521631427,,"2025-11-09T23:02:42.745Z","2025-11-09T23:02:42.745Z"
"cmhsbjt4q085omaftex9n64o3","SHP-0000006","cmhsbjr2u06aumaftodvs8pgx","cmhsbjs9o078cmaft7ro0ol2f","2025-10-13T23:02:42.733Z","2025-10-14T05:16:55.704Z","GCV-5000",10470.60445273435,5998.241514912821,10.62581849666692,7.621008744433615,0.2410413994502079,"ROM-PIT-02","PT Petrokimia","Paiton","Surveyor PTX","BL-35447","COA-77093",23.40212093080993,245034.3516215663,,"2025-11-09T23:02:42.746Z","2025-11-09T23:02:42.746Z"
"cmhsbjt4s085qmaftk3qpposp","SHP-0000007","cmhsbjr2w06avmaft6zlaef3b","cmhsbjs9q078emaftlp7i6i4g","2025-11-06T23:02:42.733Z","2025-11-07T02:10:55.693Z","GCV-6000",11067.33601797238,5986.628786542829,8.76602918960236,4.773189137564913,0.4778581495600424,"ROM-PIT-10","PT Steel Indonesia","Cilacap","Surveyor PTX","BL-25589","COA-93995",22.89481472409562,253384.607620788,,"2025-11-09T23:02:42.749Z","2025-11-09T23:02:42.749Z"
"cmhsbjt4v085smaft181zuo1j","SHP-0000008","cmhsbjr2x06awmaftqmivqan6","cmhsbjs9s078gmaftntx97xl8","2025-10-19T23:02:42.733Z","2025-10-19T23:14:54.084Z","GCV-5500",10240.49130021323,5907.637094676114,11.52457280094842,6.339421010863662,0.5312816059325429,"ROM-PIT-10","PT Petrokimia","Merak","Surveyor AB","BL-37469","COA-81865",19.14900414081711,196095.2103117848,,"2025-11-09T23:02:42.751Z","2025-11-09T23:02:42.751Z"
"cmhsbjt4x085umaftzss3by73","SHP-0000009","cmhsbjr2y06axmaftom9o1njf","cmhsbjs9u078imaftm1smrx2q","2025-10-20T23:02:42.733Z","2025-10-21T04:38:23.335Z","GCV-6000",18985.80977582525,5645.456730991039,8.990825941248794,9.87772489960527,0.5746300135419031,"ROM-PIT-10","PLN","Merak","Surveyor PTX","BL-58434","COA-14868",18.98489703126491,360443.6436492252,,"2025-11-09T23:02:42.753Z","2025-11-09T23:02:42.753Z"
"cmhsbjt4y085wmaft1upgdnea","SHP-0000010","cmhsbjr2z06aymaftbsu7p50j","cmhsbjs9w078kmaftew541ggg","2025-11-08T23:02:42.733Z","2025-11-09T07:53:57.588Z","GCV-5000",7708.152401871489,5647.227995712155,18.35076470297991,8.37934377633569,0.3634562551901186,"ROM-PIT-09","PT Steel Indonesia","Paiton","Surveyor Marine","BL-85170","COA-25510",17.99252592616231,138689.1319334831,,"2025-11-09T23:02:42.755Z","2025-11-09T23:02:42.755Z"
