"id","code","name","equipmentType","brand","model","status","lastMaintenance","totalHours","isActive","createdAt","updatedAt"
"cmhsbjqfm05u1mafttpf4nug3","SUP-0001","Komatsu COMPACTOR-001","COMPACTOR","Komatsu","KOM958","MAINTENANCE","2025-10-30T23:02:39.248Z",8447,true,"2025-11-09T23:02:39.251Z","2025-11-09T23:02:39.251Z"
"cmhsbjqfp05u2maftk21uljel","SUP-0002","XCMG DOZER-002","DOZER","XCMG","XCM408","ACTIVE","2025-10-10T23:02:39.248Z",20480,true,"2025-11-09T23:02:39.253Z","2025-11-09T23:02:39.253Z"
"cmhsbjqfq05u3maft6nw1jjx0","SUP-0003","Caterpillar FUEL_TRUCK-003","FUEL_TRUCK","Caterpillar","CAT138","ACTIVE","2025-10-24T23:02:39.248Z",20781,true,"2025-11-09T23:02:39.255Z","2025-11-09T23:02:39.255Z"
"cmhsbjqfs05u4maftex2i4ebi","SUP-0004","Volvo FUEL_TRUCK-004","FUEL_TRUCK","Volvo","VOL229","ACTIVE","2025-10-07T23:02:39.248Z",3887,true,"2025-11-09T23:02:39.256Z","2025-11-09T23:02:39.256Z"
"cmhsbjqft05u5maft19ilcn0p","SUP-0005","Komatsu COMPACTOR-005","COMPACTOR","Komatsu","KOM128","BREAKDOWN","2025-10-26T23:02:39.248Z",8903,true,"2025-11-09T23:02:39.257Z","2025-11-09T23:02:39.257Z"
"cmhsbjqfu05u6maftpja9nltf","SUP-0006","XCMG COMPACTOR-006","COMPACTOR","XCMG","XCM850","IDLE","2025-11-02T23:02:39.248Z",7749,true,"2025-11-09T23:02:39.259Z","2025-11-09T23:02:39.259Z"
"cmhsbjqfw05u7maftbix1gg7s","SUP-0007","Volvo DOZER-007","DOZER","Volvo","VOL284","BREAKDOWN","2025-10-24T23:02:39.248Z",26229,false,"2025-11-09T23:02:39.260Z","2025-11-09T23:02:39.260Z"
"cmhsbjqfx05u8maft5bx7wi90","SUP-0008","XCMG FUEL_TRUCK-008","FUEL_TRUCK","XCMG","XCM954","ACTIVE","2025-10-25T23:02:39.248Z",25439,false,"2025-11-09T23:02:39.261Z","2025-11-09T23:02:39.261Z"
"cmhsbjqfy05u9maftp15mhfk9","SUP-0009","Komatsu WATER_TRUCK-009","WATER_TRUCK","Komatsu","KOM411","ACTIVE","2025-10-19T23:02:39.248Z",16037,true,"2025-11-09T23:02:39.263Z","2025-11-09T23:02:39.263Z"
"cmhsbjqfz05uamaftrlpm44br","SUP-0010","Caterpillar DOZER-010","DOZER","Caterpillar","CAT326","MAINTENANCE","2025-09-30T23:02:39.248Z",11291,true,"2025-11-09T23:02:39.264Z","2025-11-09T23:02:39.264Z"
"cmhsbjqg105ubmaft65gknels","SUP-0011","Caterpillar LIGHT_VEHICLE-011","LIGHT_VEHICLE","Caterpillar","CAT133","IDLE","2025-10-02T23:02:39.248Z",8357,true,"2025-11-09T23:02:39.265Z","2025-11-09T23:02:39.265Z"
"cmhsbjqg305ucmaftaloztrq9","SUP-0012","Komatsu WATER_TRUCK-012","WATER_TRUCK","Komatsu","KOM225","ACTIVE","2025-09-28T23:02:39.248Z",15691,true,"2025-11-09T23:02:39.267Z","2025-11-09T23:02:39.267Z"
"cmhsbjqg405udmaftniy1kcj3","SUP-0013","Volvo GRADER-013","GRADER","Volvo","VOL177","MAINTENANCE","2025-10-16T23:02:39.248Z",20324,true,"2025-11-09T23:02:39.269Z","2025-11-09T23:02:39.269Z"
"cmhsbjqg505uemaft2avdv021","SUP-0014","Komatsu WATER_TRUCK-014","WATER_TRUCK","Komatsu","KOM762","BREAKDOWN","2025-10-25T23:02:39.248Z",15770,true,"2025-11-09T23:02:39.270Z","2025-11-09T23:02:39.270Z"
"cmhsbjqg705ufmaft1s20inb2","SUP-0015","XCMG GRADER-015","GRADER","XCMG","XCM135","BREAKDOWN","2025-10-29T23:02:39.248Z",16061,true,"2025-11-09T23:02:39.271Z","2025-11-09T23:02:39.271Z"
"cmhsbjqg805ugmaft8fwnov7l","SUP-0016","XCMG COMPACTOR-016","COMPACTOR","XCMG","XCM170","IDLE","2025-10-26T23:02:39.248Z",8630,true,"2025-11-09T23:02:39.272Z","2025-11-09T23:02:39.272Z"
"cmhsbjqg905uhmaft89kijtfx","SUP-0017","XCMG FUEL_TRUCK-017","FUEL_TRUCK","XCMG","XCM178","BREAKDOWN","2025-09-28T23:02:39.248Z",21132,true,"2025-11-09T23:02:39.273Z","2025-11-09T23:02:39.273Z"
"cmhsbjqga05uimaftqv83zxzz","SUP-0018","Caterpillar WATER_TRUCK-018","WATER_TRUCK","Caterpillar","CAT886","ACTIVE","2025-10-07T23:02:39.248Z",10814,true,"2025-11-09T23:02:39.274Z","2025-11-09T23:02:39.274Z"
"cmhsbjqgb05ujmaftydkd2si9","SUP-0019","Shantui LIGHT_VEHICLE-019","LIGHT_VEHICLE","Shantui","SHA779","IDLE","2025-10-19T23:02:39.248Z",18599,true,"2025-11-09T23:02:39.276Z","2025-11-09T23:02:39.276Z"
"cmhsbjqgc05ukmaftohkj4o25","SUP-0020","Komatsu FUEL_TRUCK-020","FUEL_TRUCK","Komatsu","KOM541","BREAKDOWN","2025-10-03T23:02:39.248Z",20523,true,"2025-11-09T23:02:39.277Z","2025-11-09T23:02:39.277Z"
"cmhsbjqgd05ulmaftemgdpwan","SUP-0021","JCB COMPACTOR-021","COMPACTOR","JCB","JCB220","BREAKDOWN","2025-10-27T23:02:39.248Z",5757,true,"2025-11-09T23:02:39.278Z","2025-11-09T23:02:39.278Z"
"cmhsbjqge05ummaftq5ztq3bp","SUP-0022","Caterpillar GRADER-022","GRADER","Caterpillar","CAT659","IDLE","2025-11-07T23:02:39.248Z",10458,true,"2025-11-09T23:02:39.279Z","2025-11-09T23:02:39.279Z"
"cmhsbjqgg05unmafts08iazq7","SUP-0023","Komatsu GRADER-023","GRADER","Komatsu","KOM871","IDLE","2025-11-02T23:02:39.248Z",7774,true,"2025-11-09T23:02:39.280Z","2025-11-09T23:02:39.280Z"
"cmhsbjqgh05uomaft61izsp3f","SUP-0024","JCB DOZER-024","DOZER","JCB","JCB980","MAINTENANCE","2025-11-05T23:02:39.248Z",13281,true,"2025-11-09T23:02:39.281Z","2025-11-09T23:02:39.281Z"
"cmhsbjqgj05upmaftr4zqtr3k","SUP-0025","Shantui DOZER-025","DOZER","Shantui","SHA307","MAINTENANCE","2025-11-02T23:02:39.248Z",2929,true,"2025-11-09T23:02:39.283Z","2025-11-09T23:02:39.283Z"
"cmhsbjqgk05uqmaftv5jxa8r7","SUP-0026","JCB WATER_TRUCK-026","WATER_TRUCK","JCB","JCB484","MAINTENANCE","2025-11-01T23:02:39.248Z",25882,true,"2025-11-09T23:02:39.285Z","2025-11-09T23:02:39.285Z"
"cmhsbjqgm05urmaftlebidcjv","SUP-0027","Caterpillar COMPACTOR-027","COMPACTOR","Caterpillar","CAT808","ACTIVE","2025-10-24T23:02:39.248Z",17903,true,"2025-11-09T23:02:39.286Z","2025-11-09T23:02:39.286Z"
"cmhsbjqgn05usmaftik26jdny","SUP-0028","Caterpillar FUEL_TRUCK-028","FUEL_TRUCK","Caterpillar","CAT979","MAINTENANCE","2025-09-28T23:02:39.248Z",17979,true,"2025-11-09T23:02:39.287Z","2025-11-09T23:02:39.287Z"
"cmhsbjqgo05utmafthdzjdart","SUP-0029","Caterpillar LIGHT_VEHICLE-029","LIGHT_VEHICLE","Caterpillar","CAT450","ACTIVE","2025-10-13T23:02:39.248Z",17831,false,"2025-11-09T23:02:39.288Z","2025-11-09T23:02:39.288Z"
"cmhsbjqgp05uumaftdehxw4w6","SUP-0030","XCMG LIGHT_VEHICLE-030","LIGHT_VEHICLE","XCMG","XCM227","ACTIVE","2025-10-14T23:02:39.248Z",20625,true,"2025-11-09T23:02:39.290Z","2025-11-09T23:02:39.290Z"
"cmhsbjqgq05uvmaftmybobx7a","SUP-0031","Volvo WATER_TRUCK-031","WATER_TRUCK","Volvo","VOL917","MAINTENANCE","2025-10-19T23:02:39.248Z",22775,true,"2025-11-09T23:02:39.291Z","2025-11-09T23:02:39.291Z"
"cmhsbjqgr05uwmaftyysdj1sr","SUP-0032","Volvo LIGHT_VEHICLE-032","LIGHT_VEHICLE","Volvo","VOL494","ACTIVE","2025-09-29T23:02:39.248Z",25769,true,"2025-11-09T23:02:39.292Z","2025-11-09T23:02:39.292Z"
"cmhsbjqgt05uxmaft8fy2htzn","SUP-0033","Komatsu DOZER-033","DOZER","Komatsu","KOM444","BREAKDOWN","2025-09-27T23:02:39.248Z",3891,true,"2025-11-09T23:02:39.293Z","2025-11-09T23:02:39.293Z"
"cmhsbjqgu05uymaftxpa8tugr","SUP-0034","Komatsu WATER_TRUCK-034","WATER_TRUCK","Komatsu","KOM433","BREAKDOWN","2025-10-25T23:02:39.248Z",13274,true,"2025-11-09T23:02:39.294Z","2025-11-09T23:02:39.294Z"
"cmhsbjqgv05uzmaftu0b6ae8w","SUP-0035","Komatsu COMPACTOR-035","COMPACTOR","Komatsu","KOM663","ACTIVE","2025-10-22T23:02:39.248Z",18081,true,"2025-11-09T23:02:39.295Z","2025-11-09T23:02:39.295Z"
"cmhsbjqgw05v0mafty428vtbn","SUP-0036","JCB COMPACTOR-036","COMPACTOR","JCB","JCB802","IDLE","2025-10-05T23:02:39.248Z",18519,true,"2025-11-09T23:02:39.296Z","2025-11-09T23:02:39.296Z"
"cmhsbjqgx05v1maft94ciugvc","SUP-0037","Shantui FUEL_TRUCK-037","FUEL_TRUCK","Shantui","SHA778","IDLE","2025-10-18T23:02:39.248Z",3837,true,"2025-11-09T23:02:39.297Z","2025-11-09T23:02:39.297Z"
"cmhsbjqgz05v2maftnf09kede","SUP-0038","Komatsu FUEL_TRUCK-038","FUEL_TRUCK","Komatsu","KOM208","IDLE","2025-10-09T23:02:39.248Z",23110,true,"2025-11-09T23:02:39.299Z","2025-11-09T23:02:39.299Z"
"cmhsbjqh005v3maftz0dou1zr","SUP-0039","Volvo LIGHT_VEHICLE-039","LIGHT_VEHICLE","Volvo","VOL181","ACTIVE","2025-09-28T23:02:39.248Z",17873,true,"2025-11-09T23:02:39.301Z","2025-11-09T23:02:39.301Z"
"cmhsbjqh205v4maftihl39luu","SUP-0040","XCMG LIGHT_VEHICLE-040","LIGHT_VEHICLE","XCMG","XCM342","IDLE","2025-10-28T23:02:39.248Z",25176,true,"2025-11-09T23:02:39.302Z","2025-11-09T23:02:39.302Z"
"cmhsbjqh305v5maftt7qxk7ov","SUP-0041","Volvo WATER_TRUCK-041","WATER_TRUCK","Volvo","VOL785","ACTIVE","2025-10-16T23:02:39.248Z",15814,true,"2025-11-09T23:02:39.303Z","2025-11-09T23:02:39.303Z"
"cmhsbjqh405v6maftaumjz5rg","SUP-0042","XCMG FUEL_TRUCK-042","FUEL_TRUCK","XCMG","XCM363","IDLE","2025-10-19T23:02:39.248Z",26314,true,"2025-11-09T23:02:39.305Z","2025-11-09T23:02:39.305Z"
"cmhsbjqh505v7maft7f3b1f1k","SUP-0043","Volvo GRADER-043","GRADER","Volvo","VOL882","IDLE","2025-11-09T23:02:39.248Z",18319,true,"2025-11-09T23:02:39.306Z","2025-11-09T23:02:39.306Z"
"cmhsbjqh705v8maftc8zfny06","SUP-0044","Volvo COMPACTOR-044","COMPACTOR","Volvo","VOL130","BREAKDOWN","2025-09-30T23:02:39.248Z",2901,true,"2025-11-09T23:02:39.307Z","2025-11-09T23:02:39.307Z"
"cmhsbjqh805v9maftple56uch","SUP-0045","Volvo COMPACTOR-045","COMPACTOR","Volvo","VOL674","BREAKDOWN","2025-10-26T23:02:39.248Z",3924,true,"2025-11-09T23:02:39.308Z","2025-11-09T23:02:39.308Z"
"cmhsbjqh905vamaft3c1zs8ov","SUP-0046","Caterpillar WATER_TRUCK-046","WATER_TRUCK","Caterpillar","CAT789","IDLE","2025-10-26T23:02:39.248Z",5199,true,"2025-11-09T23:02:39.309Z","2025-11-09T23:02:39.309Z"
"cmhsbjqha05vbmafto3rc98cu","SUP-0047","Shantui FUEL_TRUCK-047","FUEL_TRUCK","Shantui","SHA524","MAINTENANCE","2025-11-04T23:02:39.248Z",21463,true,"2025-11-09T23:02:39.311Z","2025-11-09T23:02:39.311Z"
"cmhsbjqhb05vcmaft8t58s42f","SUP-0048","XCMG LIGHT_VEHICLE-048","LIGHT_VEHICLE","XCMG","XCM259","ACTIVE","2025-11-07T23:02:39.248Z",16239,true,"2025-11-09T23:02:39.312Z","2025-11-09T23:02:39.312Z"
"cmhsbjqhc05vdmaftor5y1ixs","SUP-0049","JCB GRADER-049","GRADER","JCB","JCB463","ACTIVE","2025-09-29T23:02:39.248Z",7889,true,"2025-11-09T23:02:39.313Z","2025-11-09T23:02:39.313Z"
