"id","code","name","vesselType","gt","dwt","loa","capacity","owner","isOwned","status","currentLocation","isActive","remarks","createdAt","updatedAt"
"cmhsbjr2l06apmaftj0atzo30","MV-0001","MV Samudra Sejahtera","MOTHER_VESSEL",11674.90140791432,12476.70531383279,147.8808545950106,19282.79176825072,"PT Marine Services",true,"SAILING","Balikpapan",false,,"2025-11-09T23:02:40.078Z","2025-11-09T23:02:40.078Z"
"cmhsbjr2o06aqmafteqr0op5s","MV-0002","MV Borneo Mulia","MOTHER_VESSEL",10268.26038742215,12278.65007151502,158.3795495720223,7256.928743686285,"PT Chartersindo",false,"CHARTERED","Muara Pantai",true,,"2025-11-09T23:02:40.080Z","2025-11-09T23:02:40.080Z"
"cmhsbjr2q06armafthyett0dl","MV-0003","MV Borneo Sentosa","MOTHER_VESSEL",8870.946072993096,20427.58810851181,147.7336424495173,8551.85700527758,"PT Tambang Nusantara",true,"LOADING","Muara Pantai",true,,"2025-11-09T23:02:40.082Z","2025-11-09T23:02:40.082Z"
"cmhsbjr2r06asmaftedq6p340","MV-0004","MV Samudera Prima","MOTHER_VESSEL",14951.63810694998,14404.88417890244,136.5157118191846,17638.5666226847,"PT Shipping Indonesia",false,"MAINTENANCE","Balikpapan",true,,"2025-11-09T23:02:40.084Z","2025-11-09T23:02:40.084Z"
"cmhsbjr2t06atmaftdl9fso1s","MV-0005","MV Borneo Indah","MOTHER_VESSEL",5176.50714267423,14546.40212785051,173.342652378935,9810.478808729991,"PT Tambang Nusantara",false,"CHARTERED","Jakarta",true,,"2025-11-09T23:02:40.085Z","2025-11-09T23:02:40.085Z"
"cmhsbjr2u06aumaftodvs8pgx","MV-0006","MV Barito Kencana","MOTHER_VESSEL",7145.858878849767,15511.92046158869,174.0790687441432,11824.58635769724,"PT Tambang Nusantara",true,"SAILING","Samarinda",false,,"2025-11-09T23:02:40.087Z","2025-11-09T23:02:40.087Z"
"cmhsbjr2w06avmaft6zlaef3b","MV-0007","MV Samudera Indah","MOTHER_VESSEL",11589.87028020233,18412.8693112902,123.6840851162325,12728.60588124018,"PT Shipping Indonesia",true,"LOADING","Tanjung Bara",true,,"2025-11-09T23:02:40.088Z","2025-11-09T23:02:40.088Z"
"cmhsbjr2x06awmaftqmivqan6","MV-0008","MV Samudera Kencana","MOTHER_VESSEL",7315.739457690785,15834.25244921484,123.9007849444054,11258.02559632264,"PT Chartersindo",false,"AVAILABLE","Muara Pantai",true,,"2025-11-09T23:02:40.089Z","2025-11-09T23:02:40.089Z"
"cmhsbjr2y06axmaftom9o1njf","MV-0009","MV Lontar Kencana","MOTHER_VESSEL",5064.467801009065,9064.911206778677,118.8799971296451,20510.29536338429,"PT Ocean Line",true,"MAINTENANCE","Kariangau",true,,"2025-11-09T23:02:40.091Z","2025-11-09T23:02:40.091Z"
"cmhsbjr2z06aymaftbsu7p50j","MV-0010","MV Lontar Sentosa","MOTHER_VESSEL",10005.85255760085,8553.452855030158,173.72314820969,8819.136721848488,"PT Marine Services",true,"SAILING","Jakarta",true,,"2025-11-09T23:02:40.092Z","2025-11-09T23:02:40.092Z"
