"id","code","name","brand","model","yearManufacture","bucketCapacity","status","lastMaintenance","nextMaintenance","totalHours","currentLocation","isActive","purchaseDate","retirementDate","remarks","createdAt","updatedAt"
"cmhsbjpma05ddmaft5kv95dom","EXC-0001","Kobelco SK500-10-001","Kobelco","SK500-10",2017,8.436327907881749,"IDLE","2025-10-01T23:02:38.191Z","2025-11-30T23:02:38.191Z",32881,"PIT-01",true,"2017-09-02T17:00:00.000Z",,,"2025-11-09T23:02:38.194Z","2025-11-09T23:02:38.194Z"
"cmhsbjpmd05demaftkl4tzweh","EXC-0002","Hitachi EX2600-6-002","Hitachi","EX2600-6",2019,11.68463343157122,"ACTIVE","2025-11-05T23:02:38.191Z","2026-01-04T23:02:38.191Z",25378,"ROM-01",true,"2019-03-08T17:00:00.000Z",,,"2025-11-09T23:02:38.198Z","2025-11-09T23:02:38.198Z"
"cmhsbjpmg05dfmaftsl11lag3","EXC-0003","Volvo EC480E-003","Volvo","EC480E",2022,10.51373399350264,"MAINTENANCE","2025-09-17T23:02:38.191Z","2025-11-16T23:02:38.191Z",13412,"PIT-01",true,"2022-03-13T17:00:00.000Z",,,"2025-11-09T23:02:38.200Z","2025-11-09T23:02:38.200Z"
"cmhsbjpmi05dgmaftjst2wnwq","EXC-0004","Hitachi EX2600-6-004","Hitachi","EX2600-6",2024,9.173536352491249,"ACTIVE","2025-10-02T23:02:38.191Z","2025-12-01T23:02:38.191Z",5652,"Workshop",true,"2024-01-13T17:00:00.000Z",,,"2025-11-09T23:02:38.202Z","2025-11-09T23:02:38.202Z"
"cmhsbjpmk05dhmaft7uknkb9l","EXC-0005","Hitachi EX1200-6-005","Hitachi","EX1200-6",2019,12.22705452534468,"BREAKDOWN","2025-10-23T23:02:38.191Z","2025-12-22T23:02:38.191Z",24470,"ROM-02",true,"2019-04-04T17:00:00.000Z",,,"2025-11-09T23:02:38.204Z","2025-11-09T23:02:38.204Z"
"cmhsbjpmm05dimaftbdvb7qe0","EXC-0006","Komatsu PC1250-8-006","Komatsu","PC1250-8",2021,9.190938933137291,"ACTIVE","2025-11-07T23:02:38.191Z","2026-01-06T23:02:38.191Z",17565,"PIT-03",true,"2021-09-03T17:00:00.000Z",,"Production unit A","2025-11-09T23:02:38.206Z","2025-11-09T23:02:38.206Z"
"cmhsbjpmn05djmafthajryh5i","EXC-0007","Volvo EC480E-007","Volvo","EC480E",2021,9.46833324061009,"IDLE","2025-10-25T23:02:38.191Z","2025-12-24T23:02:38.191Z",16866,"Workshop",true,"2021-03-25T17:00:00.000Z",,,"2025-11-09T23:02:38.208Z","2025-11-09T23:02:38.208Z"
"cmhsbjpmp05dkmaft38e8c85y","EXC-0008","Kobelco SK500-10-008","Kobelco","SK500-10",2023,9.342894609557156,"STANDBY","2025-10-24T23:02:38.191Z","2025-12-23T23:02:38.191Z",8570,"PIT-04",true,"2023-11-24T17:00:00.000Z",,,"2025-11-09T23:02:38.210Z","2025-11-09T23:02:38.210Z"
"cmhsbjpmr05dlmaftam7oi5qf","EXC-0009","Hitachi EX1200-6-009","Hitachi","EX1200-6",2019,8.171361054314126,"IDLE","2025-10-29T23:02:38.191Z","2025-12-28T23:02:38.191Z",24028,"PIT-02",true,"2019-10-02T17:00:00.000Z",,,"2025-11-09T23:02:38.211Z","2025-11-09T23:02:38.211Z"
"cmhsbjpms05dmmaftjfy5f8c8","EXC-0010","Komatsu PC1250-8-010","Komatsu","PC1250-8",2016,8.03161059669904,"BREAKDOWN","2025-09-29T23:02:38.191Z","2025-11-28T23:02:38.191Z",36936,"ROM-01",true,"2016-07-07T17:00:00.000Z",,"Production unit A","2025-11-09T23:02:38.213Z","2025-11-09T23:02:38.213Z"
"cmhsbjpmu05dnmaftlfpm6iyi","EXC-0011","Liebherr R9400-011","Liebherr","R9400",2018,12.36583160361389,"MAINTENANCE","2025-10-31T23:02:38.191Z","2025-12-30T23:02:38.191Z",28099,"Stockpile-01",true,"2018-08-18T17:00:00.000Z",,,"2025-11-09T23:02:38.214Z","2025-11-09T23:02:38.214Z"
"cmhsbjpmw05domaftig9etdii","EXC-0012","Hitachi EX1200-6-012","Hitachi","EX1200-6",2021,8.12735878178153,"BREAKDOWN","2025-10-02T23:02:38.191Z","2025-12-01T23:02:38.191Z",16383,"Stockpile-01",true,"2021-04-25T17:00:00.000Z",,,"2025-11-09T23:02:38.217Z","2025-11-09T23:02:38.217Z"
"cmhsbjpmy05dpmaftncr7gv3a","EXC-0013","Caterpillar 374F-013","Caterpillar","374F",2020,8.11735582122028,"ACTIVE","2025-09-23T23:02:38.191Z","2025-11-22T23:02:38.191Z",21372,"ROM-01",true,"2020-03-20T17:00:00.000Z",,,"2025-11-09T23:02:38.219Z","2025-11-09T23:02:38.219Z"
"cmhsbjpn005dqmaft3v6fda4v","EXC-0014","Kobelco SK500-10-014","Kobelco","SK500-10",2018,8.54131395792828,"STANDBY","2025-09-21T23:02:38.191Z","2025-11-20T23:02:38.191Z",29663,"ROM-02",true,"2018-04-09T17:00:00.000Z",,,"2025-11-09T23:02:38.220Z","2025-11-09T23:02:38.220Z"
"cmhsbjpn205drmaftijdg85y8","EXC-0015","Volvo EC950F-015","Volvo","EC950F",2020,9.588855374433574,"STANDBY","2025-10-24T23:02:38.191Z","2025-12-23T23:02:38.191Z",21848,"PIT-02",true,"2020-07-18T17:00:00.000Z",,,"2025-11-09T23:02:38.222Z","2025-11-09T23:02:38.222Z"
"cmhsbjpn305dsmaftl2mtnfc9","EXC-0016","Volvo EC480E-016","Volvo","EC480E",2016,8.62428951483233,"MAINTENANCE","2025-09-22T23:02:38.191Z","2025-11-21T23:02:38.191Z",37645,"Stockpile-01",true,"2016-04-17T17:00:00.000Z",,,"2025-11-09T23:02:38.223Z","2025-11-09T23:02:38.223Z"
"cmhsbjpn405dtmaftqwojgnn0","EXC-0017","Kobelco SK850-10-017","Kobelco","SK850-10",2018,10.41594246993759,"BREAKDOWN","2025-10-25T23:02:38.191Z","2025-12-24T23:02:38.191Z",29805,"Workshop",true,"2018-07-11T17:00:00.000Z",,"Production unit A","2025-11-09T23:02:38.225Z","2025-11-09T23:02:38.225Z"
"cmhsbjpn605dumaft80mmfk7i","EXC-0018","Komatsu PC1250-8-018","Komatsu","PC1250-8",2019,8.862179969269693,"ACTIVE","2025-09-20T23:02:38.191Z","2025-11-19T23:02:38.191Z",24013,"ROM-01",true,"2019-08-05T17:00:00.000Z",,,"2025-11-09T23:02:38.227Z","2025-11-09T23:02:38.227Z"
"cmhsbjpn805dvmaft5yuslsor","EXC-0019","Komatsu PC2000-8-019","Komatsu","PC2000-8",2022,8.539555055690087,"STANDBY","2025-10-27T23:02:38.191Z","2025-12-26T23:02:38.191Z",12073,"ROM-01",true,"2022-10-20T17:00:00.000Z",,,"2025-11-09T23:02:38.228Z","2025-11-09T23:02:38.228Z"
"cmhsbjpn905dwmaftna81kuo2","EXC-0020","Liebherr R9400-020","Liebherr","R9400",2024,8.680316649045476,"MAINTENANCE","2025-10-18T23:02:38.191Z","2025-12-17T23:02:38.191Z",5151,"PIT-01",true,"2024-07-12T17:00:00.000Z",,,"2025-11-09T23:02:38.230Z","2025-11-09T23:02:38.230Z"
"cmhsbjpnb05dxmaftta4c20l3","EXC-0021","Hitachi EX3600-6-021","Hitachi","EX3600-6",2019,10.31015759203039,"BREAKDOWN","2025-10-23T23:02:38.191Z","2025-12-22T23:02:38.191Z",24907,"PIT-03",true,"2019-12-16T17:00:00.000Z",,,"2025-11-09T23:02:38.231Z","2025-11-09T23:02:38.231Z"
"cmhsbjpne05dymafte2d8h7g2","EXC-0022","Caterpillar 349E-022","Caterpillar","349E",2018,12.15632179409263,"IDLE","2025-09-20T23:02:38.191Z","2025-11-19T23:02:38.191Z",29713,"ROM-02",true,"2018-10-15T17:00:00.000Z",,,"2025-11-09T23:02:38.235Z","2025-11-09T23:02:38.235Z"
"cmhsbjpnh05dzmaft8x5aa2ud","EXC-0023","Kobelco SK380-10-023","Kobelco","SK380-10",2018,8.505686913566702,"IDLE","2025-09-18T23:02:38.191Z","2025-11-17T23:02:38.191Z",28270,"ROM-01",true,"2018-11-21T17:00:00.000Z",,,"2025-11-09T23:02:38.237Z","2025-11-09T23:02:38.237Z"
"cmhsbjpnj05e0maftor3v8l65","EXC-0024","Hitachi EX1900-6-024","Hitachi","EX1900-6",2018,9.414901430393806,"STANDBY","2025-11-02T23:02:38.191Z","2026-01-01T23:02:38.191Z",29797,"Stockpile-01",true,"2018-10-03T17:00:00.000Z",,,"2025-11-09T23:02:38.239Z","2025-11-09T23:02:38.239Z"
"cmhsbjpnl05e1mafts9fc2pcs","EXC-0025","Kobelco SK500-10-025","Kobelco","SK500-10",2023,9.7086404781077,"ACTIVE","2025-10-15T23:02:38.191Z","2025-12-14T23:02:38.191Z",8417,"ROM-02",true,"2023-12-02T17:00:00.000Z",,,"2025-11-09T23:02:38.241Z","2025-11-09T23:02:38.241Z"
"cmhsbjpnn05e2maft5qv0ptem","EXC-0026","Komatsu PC400-8-026","Komatsu","PC400-8",2021,11.447047596511,"IDLE","2025-10-13T23:02:38.191Z","2025-12-12T23:02:38.191Z",17879,"PIT-02",false,"2021-12-17T17:00:00.000Z",,"Production unit A","2025-11-09T23:02:38.243Z","2025-11-09T23:02:38.243Z"
"cmhsbjpno05e3maftjgk2z2au","EXC-0027","Kobelco SK500-10-027","Kobelco","SK500-10",2020,10.36389841563114,"ACTIVE","2025-10-25T23:02:38.191Z","2025-12-24T23:02:38.191Z",20686,"PIT-02",true,"2020-09-17T17:00:00.000Z",,,"2025-11-09T23:02:38.245Z","2025-11-09T23:02:38.245Z"
"cmhsbjpnq05e4maftg6sfnzpa","EXC-0028","Hitachi EX1200-6-028","Hitachi","EX1200-6",2023,12.39791128821559,"MAINTENANCE","2025-09-25T23:02:38.191Z","2025-11-24T23:02:38.191Z",9753,"ROM-02",true,"2023-05-12T17:00:00.000Z",,,"2025-11-09T23:02:38.246Z","2025-11-09T23:02:38.246Z"
"cmhsbjpns05e5maftdqnhv36f","EXC-0029","Liebherr R9800-029","Liebherr","R9800",2015,11.00416236113086,"ACTIVE","2025-09-12T23:02:38.191Z","2025-11-11T23:02:38.191Z",40964,"PIT-04",true,"2015-10-02T17:00:00.000Z",,,"2025-11-09T23:02:38.249Z","2025-11-09T23:02:38.249Z"
"cmhsbjpnv05e6maftzawtrs4r","EXC-0030","Liebherr R984C-030","Liebherr","R984C",2023,12.24610039076231,"BREAKDOWN","2025-11-09T23:02:38.191Z","2026-01-08T23:02:38.191Z",9078,"PIT-01",true,"2023-09-21T17:00:00.000Z",,,"2025-11-09T23:02:38.251Z","2025-11-09T23:02:38.251Z"
"cmhsbjpnx05e7maftg1r12tjx","EXC-0031","Caterpillar 374F-031","Caterpillar","374F",2018,10.01298626034067,"STANDBY","2025-10-28T23:02:38.191Z","2025-12-27T23:02:38.191Z",29655,"Stockpile-01",true,"2018-02-03T17:00:00.000Z",,,"2025-11-09T23:02:38.253Z","2025-11-09T23:02:38.253Z"
"cmhsbjpny05e8maftpeoh8yrd","EXC-0032","Komatsu PC1250-8-032","Komatsu","PC1250-8",2019,9.295526228417405,"IDLE","2025-10-01T23:02:38.191Z","2025-11-30T23:02:38.191Z",25482,"PIT-02",true,"2019-07-10T17:00:00.000Z",,,"2025-11-09T23:02:38.255Z","2025-11-09T23:02:38.255Z"
"cmhsbjpo005e9maftke2dlvfj","EXC-0033","Caterpillar 349E-033","Caterpillar","349E",2022,10.17402740744893,"MAINTENANCE","2025-11-01T23:02:38.191Z","2025-12-31T23:02:38.191Z",13930,"Stockpile-01",true,"2022-03-14T17:00:00.000Z",,,"2025-11-09T23:02:38.256Z","2025-11-09T23:02:38.256Z"
"cmhsbjpo205eamaftur3j7yx2","EXC-0034","Komatsu PC800-8-034","Komatsu","PC800-8",2021,8.582847066879697,"BREAKDOWN","2025-10-14T23:02:38.191Z","2025-12-13T23:02:38.191Z",16881,"PIT-03",true,"2021-04-26T17:00:00.000Z",,,"2025-11-09T23:02:38.258Z","2025-11-09T23:02:38.258Z"
