"id","vesselId","loadingPort","destination","etaLoading","etsLoading","plannedQuantity","actualQuantity","status","buyer"
"cmioppm2s078496teq5l9o7mu","cmioppk9g06aq96tev8v629cd","Tanjung Bara","Cilacap","2025-12-17T08:14:56.812Z","2025-12-17T19:14:56.812Z",15031.56815470298,15047.11182821473,"COMPLETED","PT Steel Indonesia"
"cmioppm2v078696te01fy98ri","cmioppk9i06ar96te8mbgbyv7","Balikpapan","Lontar","2025-12-24T05:22:07.722Z","2025-12-24T23:22:07.722Z",18153.76597197983,17483.17813389084,"DISCHARGING","PT Semen Indonesia"
"cmioppm2x078896te3vh0glh0","cmioppk9k06as96te9rro5l5x","Sangatta","Paiton","2025-12-29T12:23:33.625Z","2025-12-30T07:23:33.625Z",12154.18857507688,,"ARRIVED","PT Pupuk Indonesia"
"cmioppm30078a96te3kk6ljjt","cmioppk9l06at96te4raiyo8m","Sangatta","Merak","2025-12-19T10:10:42.953Z","2025-12-20T06:10:42.953Z",6144.72563771861,6067.843484827757,"COMPLETED","PT Steel Indonesia"
"cmioppm33078c96teccpkxwd5","cmioppk9n06au96tew1xdhqx8","Banjarmasin","Cilacap","2025-12-31T05:10:17.094Z","2025-12-31T14:10:17.094Z",17040.88861846857,,"CANCELLED","PT Pupuk Indonesia"
"cmioppm36078e96tepq3gw5jn","cmioppk9p06av96tekrzvu1xr","Sangatta","Tanjung Priok","2025-12-16T17:38:21.098Z","2025-12-17T03:38:21.098Z",13903.69882945071,,"STANDBY","PT Pupuk Indonesia"
"cmioppm3a078i96teakwvdc9r","cmioppk9s06ax96tec1w2w0z8","Samarinda","Suralaya","2025-12-29T13:47:18.640Z","2025-12-30T13:47:18.640Z",17074.65721224296,16397.02008849928,"DISCHARGING","PT Semen Indonesia"
"cmioppm3c078k96tezy35cwc2","cmioppk9t06ay96teto7j9hd7","Banjarmasin","Merak","2025-12-20T07:19:44.931Z","2025-12-21T06:19:44.931Z",11065.34185643544,,"COMPLETED","PT Petrokimia"
"cmioppm3e078m96teuia4q1mu","cmioppk9v06az96tezr4p6546","Tarakan","Merak","2025-12-21T17:37:57.707Z","2025-12-22T22:37:57.707Z",8239.257905022625,8007.95865209195,"STANDBY","PT Pupuk Indonesia"
"cmioppm3g078o96teb9jqrzs0","cmioppk9x06b096te2npj5kpd","Samarinda","Suralaya","2025-12-21T06:09:08.134Z","2025-12-22T08:09:08.134Z",15551.54491403461,15561.57332683107,"STANDBY","PLN"
"cmioppm3j078q96terp2ru4b0","cmioppk9y06b196temd0qkoe3","Muara Pantai","Lontar","2025-12-27T14:59:03.948Z","2025-12-28T09:59:03.948Z",12230.05928210743,,"COMPLETED","PT Semen Indonesia"
"cmioppm3l078s96teebjhr0hl","cmioppka006b296te1ach8xve","Samarinda","Cilacap","2025-12-25T06:41:24.402Z","2025-12-26T06:41:24.402Z",19720.49429407242,20194.73122007135,"SCHEDULED","PT Petrokimia"
"cmioppm3o078u96teu06r68jn","cmioppka106b396te3hdttw7r","Muara Pantai","Cilacap","2025-12-26T00:39:33.779Z","2025-12-27T05:39:33.779Z",18420.92523979175,17889.78421072097,"STANDBY","PT Petrokimia"
"cmioppm3q078w96tew6ze7sdq","cmioppka206b496teeaz8me7x","Muara Pantai","Merak","2025-12-21T09:15:42.318Z","2025-12-21T22:15:42.318Z",16211.28327470547,,"DISCHARGING","PT Pupuk Indonesia"
"cmioppm3s078y96te2k337ngx","cmioppka406b596tegaqetumh","Muara Pantai","Gresik","2025-12-27T07:27:27.395Z","2025-12-27T20:27:27.395Z",18341.81304299458,,"SCHEDULED","PT Semen Indonesia"
"cmioppm3u079096tes8pnw8px","cmioppka606b696te9sodbyv2","Muara Pantai","Cilacap","2025-12-30T22:08:49.242Z","2025-12-31T04:08:49.242Z",15569.70122108307,15411.71780778548,"CANCELLED","PLN"
"cmioppm3w079296teurkzjd91","cmioppka706b796teaj8zgmyg","Sangatta","Gresik","2025-12-27T00:58:51.410Z","2025-12-27T08:58:51.410Z",14245.61072708392,,"DISCHARGING","PT Steel Indonesia"
"cmioppm3x079496te844t11cw","cmioppka906b896tend5gmnq1","Tarakan","Paiton","2025-12-17T21:49:53.530Z","2025-12-18T13:49:53.530Z",15189.12438422688,14955.73467897359,"COMPLETED","PT Petrokimia"
"cmioppm40079696tefmaceve9","cmioppkab06b996te1c3vnhr5","Tanjung Bara","Cilacap","2025-12-16T11:48:28.596Z","2025-12-16T17:48:28.596Z",13402.26910755646,13744.9457702298,"LOADING","PT Steel Indonesia"
"cmioppm42079896tewgul4t7s","cmioppkad06ba96tevnqresoq","Kariangau","Suralaya","2025-12-24T20:32:51.193Z","2025-12-25T07:32:51.193Z",14687.8447131474,14064.71507768792,"COMPLETED","PLN"
"cmioppm44079a96teue7yozhb","cmioppkae06bb96tewdq8u3eq","Banjarmasin","Cilacap","2025-12-17T11:33:32.169Z","2025-12-18T09:33:32.169Z",11577.95737083859,,"COMPLETED","PT Steel Indonesia"
"cmioppm46079c96teb9h7yvwb","cmioppkag06bc96tegji4s63r","Kariangau","Merak","2025-12-18T20:57:47.255Z","2025-12-19T14:57:47.255Z",7345.078373595306,,"STANDBY","PT Petrokimia"
"cmioppm49079e96tewuhxj87a","cmioppkah06bd96tepdf6hrel","Sangatta","Merak","2025-12-17T02:09:08.555Z","2025-12-18T00:09:08.555Z",9595.721210015656,9349.139993960747,"LOADING","PT Petrokimia"
"cmioppm4b079g96teb4ktwwol","cmioppkaj06be96te1pvy23iu","Sangatta","Suralaya","2025-12-24T12:10:44.522Z","2025-12-25T07:10:44.522Z",18977.06473399253,18749.48619195089,"ARRIVED","PT Petrokimia"
"cmioppm4d079i96tep3zjuqcg","cmioppkak06bf96tewcbg1kzb","Banjarmasin","Paiton","2025-12-27T18:45:38.703Z","2025-12-28T19:45:38.703Z",12762.28285957009,,"LOADING","PT Pupuk Indonesia"
"cmioppm4e079k96tet0by1r1o","cmioppkam06bg96tenthdjrw9","Tanjung Bara","Cilacap","2025-12-30T19:04:48.112Z","2025-12-31T17:04:48.112Z",14980.30335758115,,"STANDBY","PT Pupuk Indonesia"
"cmioppm4h079m96te0bx3zmo4","cmioppkan06bh96te470a8iqu","Samarinda","Tanjung Priok","2025-12-26T08:47:22.922Z","2025-12-27T10:47:22.922Z",18374.00256304859,,"DISCHARGING","PT Steel Indonesia"
"cmioppm4j079o96teu4hflff3","cmioppkao06bi96teqepymn9b","Tarakan","Lontar","2025-12-23T12:39:24.790Z","2025-12-24T12:39:24.790Z",10171.61906495823,10035.32114398304,"LOADING","PT Steel Indonesia"
"cmioppm4m079q96ten1rifbu5","cmioppkar06bj96te5cfiqzbm","Samarinda","Suralaya","2025-12-30T00:38:21.332Z","2025-12-30T18:38:21.332Z",9583.27550031631,9500.849628104861,"SCHEDULED","PT Semen Indonesia"
"cmioppm4o079s96te4fzxeo2b","cmioppkas06bk96te7pbngvzo","Banjarmasin","Gresik","2025-12-15T08:35:53.398Z","2025-12-16T05:35:53.398Z",16121.79353619728,,"SCHEDULED","PT Semen Indonesia"
"cmioppm4r079u96te0132xdjg","cmioppkau06bl96tewgnc0lwm","Balikpapan","Tanjung Priok","2025-12-20T09:21:37.340Z","2025-12-20T22:21:37.340Z",10066.07512961165,10018.78517830291,"DISCHARGING","PT Pupuk Indonesia"
