"id","code","name","brand","model","yearManufacture","capacity","fuelCapacity","status","lastMaintenance","nextMaintenance","totalHours","totalDistance","currentOperatorId","currentLocation","isActive","purchaseDate","retirementDate","remarks","createdAt","updatedAt"
"cmhsbjopw04g2maftmyern640","HD-0001","Mercedes-Benz Axor 3340-001","Mercedes-Benz","Axor 3340",2018,25,441,"STANDBY","2025-10-26T23:02:37.025Z","2025-11-25T23:02:37.025Z",26027,393542,,"Workshop",true,"2018-12-15T17:00:00.000Z",,,"2025-11-09T23:02:37.028Z","2025-11-09T23:02:37.028Z"
"cmhsbjopz04g4maftjrwxyk2m","HD-0002","Hino Profia FM320-002","Hino","Profia FM320",2015,32,362,"HAULING","2025-10-03T23:02:37.025Z","2025-11-02T23:02:37.025Z",35121,528882,"cmhsbjo3603pgmaftpv3cvgpu","PIT-03",true,"2015-09-25T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.031Z","2025-11-09T23:02:37.031Z"
"cmhsbjoq104g6maftjeim3mo8","HD-0003","Mitsubishi Fuso FJ2528R-003","Mitsubishi Fuso","FJ2528R",2020,23,272,"HAULING","2025-10-14T23:02:37.025Z","2025-11-13T23:02:37.025Z",17510,265074,"cmhsbjo3803pimafts8vtb4a9","Workshop",true,"2020-06-19T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.034Z","2025-11-09T23:02:37.034Z"
"cmhsbjoq304g8maftmlsvhmex","HD-0004","Scania P410-004","Scania","P410",2018,36,407,"LOADING","2025-09-28T23:02:37.025Z","2025-10-28T23:02:37.025Z",26347,399605,"cmhsbjo3903pkmaftifkvyuw2","ROM-02",true,"2018-05-01T17:00:00.000Z",,,"2025-11-09T23:02:37.036Z","2025-11-09T23:02:37.036Z"
"cmhsbjoq504gamaftl5m0fin4","HD-0005","Mercedes-Benz Axor 3340-005","Mercedes-Benz","Axor 3340",2021,28,370,"HAULING","2025-10-08T23:02:37.025Z","2025-11-07T23:02:37.025Z",15333,238277,"cmhsbjo3c03pmmaftq35qxql3","ROM-01",true,"2021-05-20T17:00:00.000Z",,,"2025-11-09T23:02:37.038Z","2025-11-09T23:02:37.038Z"
"cmhsbjoq704gcmafttjd66228","HD-0006","Mercedes-Benz Arocs 4143-006","Mercedes-Benz","Arocs 4143",2018,39,418,"REFUELING","2025-11-07T23:02:37.025Z","2025-12-07T23:02:37.025Z",25207,385494,"cmhsbjo3e03pomaftaqptdxm9","ROM-01",true,"2018-02-11T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.040Z","2025-11-09T23:02:37.040Z"
"cmhsbjoq904gemaft5g164deq","HD-0007","Mercedes-Benz Axor 3340-007","Mercedes-Benz","Axor 3340",2023,33,342,"REFUELING","2025-10-02T23:02:37.025Z","2025-11-01T23:02:37.025Z",7827,127033,,"PIT-03",true,"2023-09-14T17:00:00.000Z",,,"2025-11-09T23:02:37.041Z","2025-11-09T23:02:37.041Z"
"cmhsbjoqb04ggmaftlbdxmpwk","HD-0008","Volvo FH540-008","Volvo","FH540",2023,21,422,"LOADING","2025-11-07T23:02:37.025Z","2025-12-07T23:02:37.025Z",8083,128125,"cmhsbjo3h03psmaftn3w94bh5","Workshop",true,"2023-11-21T17:00:00.000Z",,,"2025-11-09T23:02:37.043Z","2025-11-09T23:02:37.043Z"
"cmhsbjoqc04gimaftmir337bi","HD-0009","UD Trucks Quester CWE280-009","UD Trucks","Quester CWE280",2020,32,336,"STANDBY","2025-10-23T23:02:37.025Z","2025-11-22T23:02:37.025Z",18521,281627,,"En-route",true,"2020-02-12T17:00:00.000Z",,,"2025-11-09T23:02:37.045Z","2025-11-09T23:02:37.045Z"
"cmhsbjoqe04gkmaftp8uc7fmj","HD-0010","Mitsubishi Fuso FV517RL-010","Mitsubishi Fuso","FV517RL",2020,22,433,"IN_QUEUE","2025-10-22T23:02:37.025Z","2025-11-21T23:02:37.025Z",19342,292802,"cmhsbjo3l03pwmaft6vn89pet","PIT-03",true,"2020-12-13T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.046Z","2025-11-09T23:02:37.046Z"
"cmhsbjoqg04gmmafty480sn4s","HD-0011","UD Trucks Quester CGE420-011","UD Trucks","Quester CGE420",2023,30,280,"MAINTENANCE","2025-10-07T23:02:37.025Z","2025-11-06T23:02:37.025Z",8534,136961,,"Workshop",true,"2023-09-23T17:00:00.000Z",,,"2025-11-09T23:02:37.048Z","2025-11-09T23:02:37.048Z"
"cmhsbjoqi04gomaftb1kr64ke","HD-0012","Mercedes-Benz Actros 4144-012","Mercedes-Benz","Actros 4144",2022,32,424,"DUMPING","2025-11-08T23:02:37.025Z","2025-12-08T23:02:37.025Z",11465,176347,"cmhsbjo3p03q0maftpmltmmqn","PIT-03",true,"2022-04-02T17:00:00.000Z",,,"2025-11-09T23:02:37.050Z","2025-11-09T23:02:37.050Z"
"cmhsbjoqk04gqmaftjmlfgz3x","HD-0013","Volvo FM440-013","Volvo","FM440",2020,24,386,"IDLE","2025-10-23T23:02:37.025Z","2025-11-22T23:02:37.025Z",17771,273000,"cmhsbjo3q03q2maftr5wkkdh4","En-route",true,"2020-07-19T17:00:00.000Z",,,"2025-11-09T23:02:37.052Z","2025-11-09T23:02:37.052Z"
"cmhsbjoqm04gsmaftlx254n6w","HD-0014","Mercedes-Benz Axor 3340-014","Mercedes-Benz","Axor 3340",2020,30,415,"REFUELING","2025-10-29T23:02:37.025Z","2025-11-28T23:02:37.025Z",17993,273512,"cmhsbjo3t03q4maftqdb83mxz","PIT-02",true,"2020-12-17T17:00:00.000Z",,,"2025-11-09T23:02:37.054Z","2025-11-09T23:02:37.054Z"
"cmhsbjoqn04gumaftn0m1wlrl","HD-0015","Mercedes-Benz Arocs 4143-015","Mercedes-Benz","Arocs 4143",2019,26,320,"IDLE","2025-11-05T23:02:37.025Z","2025-12-05T23:02:37.025Z",22883,344588,,"Workshop",true,"2019-02-01T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.056Z","2025-11-09T23:02:37.056Z"
"cmhsbjoqp04gwmaft67v91awp","HD-0016","Mitsubishi Fuso FM517HS-016","Mitsubishi Fuso","FM517HS",2017,20,375,"IN_QUEUE","2025-10-12T23:02:37.025Z","2025-11-11T23:02:37.025Z",28173,425886,"cmhsbjo3w03q8maft77b9oz7q","ROM-01",true,"2017-05-05T17:00:00.000Z",,,"2025-11-09T23:02:37.057Z","2025-11-09T23:02:37.057Z"
"cmhsbjoqq04gymaftelj00twe","HD-0017","UD Trucks Quon GWE370-017","UD Trucks","Quon GWE370",2016,24,443,"DUMPING","2025-09-29T23:02:37.025Z","2025-10-29T23:02:37.025Z",32916,500757,"cmhsbjo3y03qamaftpmxi8k3b","PIT-01",true,"2016-02-29T17:00:00.000Z",,,"2025-11-09T23:02:37.059Z","2025-11-09T23:02:37.059Z"
"cmhsbjoqs04h0maftbbzl5i7c","HD-0018","UD Trucks Quester CWE280-018","UD Trucks","Quester CWE280",2019,34,305,"MAINTENANCE","2025-11-02T23:02:37.025Z","2025-12-02T23:02:37.025Z",22264,342450,,"PIT-02",true,"2019-05-09T17:00:00.000Z",,,"2025-11-09T23:02:37.060Z","2025-11-09T23:02:37.060Z"
"cmhsbjoqu04h2maftjc34zi72","HD-0019","Scania P410-019","Scania","P410",2024,38,313,"LOADING","2025-10-23T23:02:37.025Z","2025-11-22T23:02:37.025Z",5415,84782,"cmhsbjo4103qemaft2iitzj4a","ROM-02",true,"2024-08-12T17:00:00.000Z",,,"2025-11-09T23:02:37.062Z","2025-11-09T23:02:37.062Z"
"cmhsbjoqv04h4maft897qxiyn","HD-0020","UD Trucks Quester CGE420-020","UD Trucks","Quester CGE420",2021,28,430,"REFUELING","2025-10-09T23:02:37.025Z","2025-11-08T23:02:37.025Z",15354,231970,"cmhsbjo4303qgmaftk76yjk43","ROM-01",true,"2021-03-04T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.064Z","2025-11-09T23:02:37.064Z"
"cmhsbjoqx04h6maftifh7ltgc","HD-0021","Hino FM285JM-021","Hino","FM285JM",2022,20,312,"STANDBY","2025-10-15T23:02:37.025Z","2025-11-14T23:02:37.025Z",11271,174365,,"Pool",true,"2022-04-17T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.065Z","2025-11-09T23:02:37.065Z"
"cmhsbjor004h8maftgz255860","HD-0022","Mercedes-Benz Arocs 4143-022","Mercedes-Benz","Arocs 4143",2023,33,426,"DUMPING","2025-10-14T23:02:37.025Z","2025-11-13T23:02:37.025Z",8589,131821,"cmhsbjo4603qkmaftesju7skj","ROM-01",true,"2023-08-09T17:00:00.000Z",,,"2025-11-09T23:02:37.068Z","2025-11-09T23:02:37.068Z"
"cmhsbjor204hamaft71hfzr1w","HD-0023","Mitsubishi Fuso FV517RL-023","Mitsubishi Fuso","FV517RL",2018,26,276,"REFUELING","2025-10-22T23:02:37.025Z","2025-11-21T23:02:37.025Z",25840,391015,,"PIT-03",true,"2018-11-01T17:00:00.000Z",,,"2025-11-09T23:02:37.070Z","2025-11-09T23:02:37.070Z"
"cmhsbjor304hcmaft0c86ax5x","HD-0024","Mercedes-Benz Actros 4144-024","Mercedes-Benz","Actros 4144",2024,25,303,"MAINTENANCE","2025-10-03T23:02:37.025Z","2025-11-02T23:02:37.025Z",4212,63885,,"PIT-01",true,"2024-08-04T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.071Z","2025-11-09T23:02:37.071Z"
"cmhsbjor504hemaft1dv2hv3y","HD-0025","Mercedes-Benz Axor 3340-025","Mercedes-Benz","Axor 3340",2015,25,375,"LOADING","2025-10-02T23:02:37.025Z","2025-11-01T23:02:37.025Z",35902,544018,"cmhsbjo4d03qqmafto26uddnu","Stockpile-01",true,"2015-11-03T17:00:00.000Z",,,"2025-11-09T23:02:37.073Z","2025-11-09T23:02:37.073Z"
"cmhsbjor704hgmaftlr2dn94l","HD-0026","UD Trucks Quester CWE280-026","UD Trucks","Quester CWE280",2019,34,348,"LOADING","2025-10-03T23:02:37.025Z","2025-11-02T23:02:37.025Z",21822,332072,"cmhsbjo4e03qsmaft5v5jcru5","PIT-02",true,"2019-05-03T17:00:00.000Z",,,"2025-11-09T23:02:37.075Z","2025-11-09T23:02:37.075Z"
"cmhsbjor804himaftpo7veesd","HD-0027","Mercedes-Benz Actros 4144-027","Mercedes-Benz","Actros 4144",2020,36,375,"IDLE","2025-10-14T23:02:37.025Z","2025-11-13T23:02:37.025Z",19455,293635,,"En-route",true,"2020-09-04T17:00:00.000Z",,,"2025-11-09T23:02:37.077Z","2025-11-09T23:02:37.077Z"
"cmhsbjora04hkmaftfz5jk0bv","HD-0028","Scania G440-028","Scania","G440",2015,32,318,"REFUELING","2025-09-26T23:02:37.025Z","2025-10-26T23:02:37.025Z",36910,557420,"cmhsbjo4i03qwmaftw4pzq1hr","Stockpile-01",true,"2015-08-12T17:00:00.000Z",,,"2025-11-09T23:02:37.078Z","2025-11-09T23:02:37.078Z"
"cmhsbjorb04hmmaftzwlarqhs","HD-0029","Hino Profia FM320-029","Hino","Profia FM320",2020,32,307,"LOADING","2025-09-30T23:02:37.025Z","2025-10-30T23:02:37.025Z",19400,299287,"cmhsbjo4k03qymaftcyp82fuy","PIT-01",true,"2020-04-24T17:00:00.000Z",,,"2025-11-09T23:02:37.080Z","2025-11-09T23:02:37.080Z"
"cmhsbjord04homaftyoj5y37q","HD-0030","UD Trucks Quester CWE280-030","UD Trucks","Quester CWE280",2015,29,302,"MAINTENANCE","2025-10-27T23:02:37.025Z","2025-11-26T23:02:37.025Z",35917,547904,,"ROM-01",true,"2015-05-31T17:00:00.000Z",,,"2025-11-09T23:02:37.082Z","2025-11-09T23:02:37.082Z"
"cmhsbjorf04hqmaftp8zu0g8r","HD-0031","Scania G440-031","Scania","G440",2017,37,388,"LOADING","2025-10-05T23:02:37.025Z","2025-11-04T23:02:37.025Z",29095,441274,,"Crusher",true,"2017-12-01T17:00:00.000Z",,,"2025-11-09T23:02:37.084Z","2025-11-09T23:02:37.084Z"
"cmhsbjorh04hsmaft3xusqr9i","HD-0032","Scania P410-032","Scania","P410",2022,38,376,"DUMPING","2025-11-04T23:02:37.025Z","2025-12-04T23:02:37.025Z",11538,173234,,"Stockpile-01",true,"2022-10-23T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.085Z","2025-11-09T23:02:37.085Z"
"cmhsbjorj04humaftaz98s9kf","HD-0033","Scania G440-033","Scania","G440",2023,22,294,"IN_QUEUE","2025-10-30T23:02:37.025Z","2025-11-29T23:02:37.025Z",8697,139158,"cmhsbjo4s03r6mafterq2s1er","Crusher",true,"2023-07-27T17:00:00.000Z",,,"2025-11-09T23:02:37.087Z","2025-11-09T23:02:37.087Z"
"cmhsbjork04hwmaftfv7gs8j3","HD-0034","Mitsubishi Fuso FM517HS-034","Mitsubishi Fuso","FM517HS",2024,20,400,"HAULING","2025-09-28T23:02:37.025Z","2025-10-28T23:02:37.025Z",4835,77708,"cmhsbjo4t03r8maftq0ntk3pl","PIT-02",true,"2024-01-09T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.089Z","2025-11-09T23:02:37.089Z"
"cmhsbjorm04hymaftpx8ttnyp","HD-0035","Mercedes-Benz Actros 4144-035","Mercedes-Benz","Actros 4144",2015,39,424,"MAINTENANCE","2025-11-07T23:02:37.025Z","2025-12-07T23:02:37.025Z",35947,539973,,"PIT-03",true,"2015-08-15T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.090Z","2025-11-09T23:02:37.090Z"
"cmhsbjorn04i0maftqxflp8nd","HD-0036","Mitsubishi Fuso FV517RL-036","Mitsubishi Fuso","FV517RL",2023,24,391,"IDLE","2025-10-05T23:02:37.025Z","2025-11-04T23:02:37.025Z",7254,113335,"cmhsbjo4x03rcmafttjbv01s0","PIT-01",true,"2023-04-04T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.092Z","2025-11-09T23:02:37.092Z"
"cmhsbjorp04i2maftm1rumhlm","HD-0037","Mercedes-Benz Axor 3340-037","Mercedes-Benz","Axor 3340",2017,36,310,"IDLE","2025-11-01T23:02:37.025Z","2025-12-01T23:02:37.025Z",29145,446224,,"ROM-01",true,"2017-10-01T17:00:00.000Z",,,"2025-11-09T23:02:37.093Z","2025-11-09T23:02:37.093Z"
"cmhsbjorr04i4maft5t215g2k","HD-0038","UD Trucks Quon GWE370-038","UD Trucks","Quon GWE370",2019,30,431,"REFUELING","2025-09-27T23:02:37.025Z","2025-10-27T23:02:37.025Z",21405,326579,"cmhsbjo5003rgmaftpx0q2vgp","PIT-02",true,"2019-01-26T17:00:00.000Z",,,"2025-11-09T23:02:37.095Z","2025-11-09T23:02:37.095Z"
"cmhsbjors04i6maftcrlaa27c","HD-0039","UD Trucks Quester CGE420-039","UD Trucks","Quester CGE420",2021,39,432,"STANDBY","2025-10-15T23:02:37.025Z","2025-11-14T23:02:37.025Z",15623,240249,,"PIT-01",true,"2021-03-11T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.096Z","2025-11-09T23:02:37.096Z"
"cmhsbjoru04i8maftm8iw75li","HD-0040","Mitsubishi Fuso FJ2528R-040","Mitsubishi Fuso","FJ2528R",2022,28,335,"IN_QUEUE","2025-10-23T23:02:37.025Z","2025-11-22T23:02:37.025Z",10577,159949,"cmhsbjo5403rkmaftayolr6w5","Workshop",true,"2022-04-21T17:00:00.000Z",,,"2025-11-09T23:02:37.098Z","2025-11-09T23:02:37.098Z"
"cmhsbjorw04iamaftznshldnd","HD-0041","Mercedes-Benz Actros 4144-041","Mercedes-Benz","Actros 4144",2017,34,370,"REFUELING","2025-10-04T23:02:37.025Z","2025-11-03T23:02:37.025Z",28589,435356,"cmhsbjo5603rmmaftarlgfskg","Crusher",false,"2017-10-22T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.100Z","2025-11-09T23:02:37.100Z"
"cmhsbjory04icmaftutki01d9","HD-0042","Scania P410-042","Scania","P410",2018,39,295,"IN_QUEUE","2025-10-19T23:02:37.025Z","2025-11-18T23:02:37.025Z",25679,394100,,"En-route",true,"2018-12-26T17:00:00.000Z",,,"2025-11-09T23:02:37.102Z","2025-11-09T23:02:37.102Z"
"cmhsbjos004iemaftryb59opx","HD-0043","Mercedes-Benz Actros 4144-043","Mercedes-Benz","Actros 4144",2024,38,366,"STANDBY","2025-11-02T23:02:37.025Z","2025-12-02T23:02:37.025Z",5240,87729,,"Pool",true,"2024-06-17T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.104Z","2025-11-09T23:02:37.104Z"
"cmhsbjos104igmafteeczfocw","HD-0044","Mercedes-Benz Actros 4144-044","Mercedes-Benz","Actros 4144",2024,22,381,"DUMPING","2025-10-27T23:02:37.025Z","2025-11-26T23:02:37.025Z",4519,72122,"cmhsbjo5c03rsmafthklrq71m","Pool",true,"2024-10-10T17:00:00.000Z",,,"2025-11-09T23:02:37.105Z","2025-11-09T23:02:37.105Z"
"cmhsbjos304iimaft03ua7evb","HD-0045","Hino Profia FM320-045","Hino","Profia FM320",2016,24,349,"IN_QUEUE","2025-10-05T23:02:37.025Z","2025-11-04T23:02:37.025Z",32919,501745,"cmhsbjo5e03rumaft6pbc325p","Pool",true,"2016-08-19T17:00:00.000Z",,,"2025-11-09T23:02:37.107Z","2025-11-09T23:02:37.107Z"
"cmhsbjos504ikmaft88prg65a","HD-0046","Mitsubishi Fuso FJ2528R-046","Mitsubishi Fuso","FJ2528R",2022,30,430,"STANDBY","2025-11-01T23:02:37.025Z","2025-12-01T23:02:37.025Z",11949,185732,,"Workshop",true,"2022-09-20T17:00:00.000Z",,,"2025-11-09T23:02:37.109Z","2025-11-09T23:02:37.109Z"
"cmhsbjos604immaftbamo6yen","HD-0047","Scania G440-047","Scania","G440",2015,39,439,"HAULING","2025-10-06T23:02:37.025Z","2025-11-05T23:02:37.025Z",36955,557077,,"ROM-01",true,"2015-07-02T17:00:00.000Z",,,"2025-11-09T23:02:37.111Z","2025-11-09T23:02:37.111Z"
"cmhsbjos804iomaft1277m7ao","HD-0048","Mercedes-Benz Arocs 4143-048","Mercedes-Benz","Arocs 4143",2017,25,414,"IDLE","2025-10-09T23:02:37.025Z","2025-11-08T23:02:37.025Z",29409,443565,"cmhsbjo5j03s0maftxickrdtl","PIT-01",true,"2017-04-13T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.112Z","2025-11-09T23:02:37.112Z"
"cmhsbjosa04iqmaftyj8g5t5e","HD-0049","Hino Ranger FM285JD-049","Hino","Ranger FM285JD",2015,20,274,"MAINTENANCE","2025-11-02T23:02:37.025Z","2025-12-02T23:02:37.025Z",36211,547237,,"Crusher",true,"2015-03-04T17:00:00.000Z",,,"2025-11-09T23:02:37.114Z","2025-11-09T23:02:37.114Z"
"cmhsbjosc04ismaft3ast4hhq","HD-0050","Volvo FH540-050","Volvo","FH540",2015,20,393,"DUMPING","2025-10-30T23:02:37.025Z","2025-11-29T23:02:37.025Z",35535,539896,"cmhsbjo5m03s4maft41y5iqvc","ROM-01",true,"2015-07-14T17:00:00.000Z",,,"2025-11-09T23:02:37.116Z","2025-11-09T23:02:37.116Z"
"cmhsbjose04iumaftdnqxuzs4","HD-0051","Mercedes-Benz Axor 3340-051","Mercedes-Benz","Axor 3340",2021,23,358,"LOADING","2025-09-27T23:02:37.025Z","2025-10-27T23:02:37.025Z",15230,229813,"cmhsbjo5p03s6maftqbwywhp0","Stockpile-01",true,"2021-08-22T17:00:00.000Z",,,"2025-11-09T23:02:37.118Z","2025-11-09T23:02:37.118Z"
"cmhsbjosg04iwmaftomgfaci8","HD-0052","Scania G440-052","Scania","G440",2016,39,409,"LOADING","2025-09-28T23:02:37.025Z","2025-10-28T23:02:37.025Z",32392,494604,"cmhsbjo5q03s8mafts2fbqx0b","PIT-02",true,"2016-07-31T17:00:00.000Z",,,"2025-11-09T23:02:37.120Z","2025-11-09T23:02:37.120Z"
"cmhsbjosi04iymaft2led2zmi","HD-0053","Hino Profia FM320-053","Hino","Profia FM320",2019,39,443,"IDLE","2025-10-10T23:02:37.025Z","2025-11-09T23:02:37.025Z",22635,348624,"cmhsbjo5s03samaftnkpli2kt","ROM-02",true,"2019-08-17T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.122Z","2025-11-09T23:02:37.122Z"
"cmhsbjosj04j0maftixfg8go5","HD-0054","Volvo FM440-054","Volvo","FM440",2015,37,286,"LOADING","2025-10-30T23:02:37.025Z","2025-11-29T23:02:37.025Z",36812,553762,"cmhsbjo5u03scmaftrk3i6u76","ROM-01",true,"2015-04-04T17:00:00.000Z",,,"2025-11-09T23:02:37.124Z","2025-11-09T23:02:37.124Z"
"cmhsbjosl04j2maftu2858w15","HD-0055","Mercedes-Benz Axor 3340-055","Mercedes-Benz","Axor 3340",2015,27,329,"IDLE","2025-09-26T23:02:37.025Z","2025-10-26T23:02:37.025Z",36627,551057,"cmhsbjo5v03semaftfce2q2bz","Stockpile-01",true,"2015-12-24T17:00:00.000Z",,,"2025-11-09T23:02:37.125Z","2025-11-09T23:02:37.125Z"
"cmhsbjosn04j4maft2kky0w17","HD-0056","Scania G440-056","Scania","G440",2018,25,369,"IDLE","2025-10-28T23:02:37.025Z","2025-11-27T23:02:37.025Z",25743,388427,"cmhsbjo5x03sgmaft932pxpcp","PIT-01",true,"2018-06-30T17:00:00.000Z",,,"2025-11-09T23:02:37.127Z","2025-11-09T23:02:37.127Z"
"cmhsbjoso04j6maftl44tkmhb","HD-0057","Scania R500-057","Scania","R500",2020,30,365,"DUMPING","2025-10-23T23:02:37.025Z","2025-11-22T23:02:37.025Z",18753,288224,"cmhsbjo5y03simaftxjvlm8yg","PIT-03",true,"2020-09-01T17:00:00.000Z",,,"2025-11-09T23:02:37.129Z","2025-11-09T23:02:37.129Z"
"cmhsbjosq04j8maftp5bqsiej","HD-0058","Hino FM260JD-058","Hino","FM260JD",2023,34,358,"DUMPING","2025-11-05T23:02:37.025Z","2025-12-05T23:02:37.025Z",7232,113214,"cmhsbjo6003skmaft2yypv16z","Crusher",true,"2023-04-22T17:00:00.000Z",,,"2025-11-09T23:02:37.130Z","2025-11-09T23:02:37.130Z"
"cmhsbjoss04jamaftnpzu2g7h","HD-0059","UD Trucks Quester CWE280-059","UD Trucks","Quester CWE280",2018,27,422,"STANDBY","2025-10-24T23:02:37.025Z","2025-11-23T23:02:37.025Z",24615,375849,,"Pool",true,"2018-01-05T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.132Z","2025-11-09T23:02:37.132Z"
"cmhsbjosu04jcmaft17k0fvmj","HD-0060","Scania P410-060","Scania","P410",2015,25,342,"HAULING","2025-10-11T23:02:37.025Z","2025-11-10T23:02:37.025Z",36423,553727,,"ROM-02",true,"2015-12-24T17:00:00.000Z",,"Fleet A","2025-11-09T23:02:37.135Z","2025-11-09T23:02:37.135Z"
"cmhsbjosw04jemaft752lr4ko","HD-0061","Mitsubishi Fuso FM517HS-061","Mitsubishi Fuso","FM517HS",2020,32,359,"STANDBY","2025-10-26T23:02:37.025Z","2025-11-25T23:02:37.025Z",18925,288151,,"Pool",false,"2020-06-27T17:00:00.000Z",,,"2025-11-09T23:02:37.136Z","2025-11-09T23:02:37.136Z"
